Sample number,Moisture treatment,Residue type,Lab rep,Glucose addition treatment,Harvest day,Initial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
2,control,CLOV,R1,G-50,T90,14970,0,30.21108891,16.14177714,15.31849382,14.49521051,14.78051187,15.06581322,15.07353733,15.08126143,13.81804762,12.55483382,13.20596075,13.85708768,14.50821461,13.52547969,12.54274477,12.85535317,13.16796157,13.48056997,13.79317837,13.64067068,13.48816299,13.3356553,13.01241627,12.68917725,12.36593822,12.0426992,11.56812899,11.09355879,10.61898858,10.66447489,10.7099612,10.75544751,10.80093382,10.65023797,10.49954212,10.34884626,10.16928302,9.98971977,9.810156525,9.63059328,9.451030035,9.27146679,9.091903545,8.951819999,8.811736453,8.671652906,8.53156936,8.391485814,8.251402268,8.111318722,8.019027385,7.926736048,7.834444711,7.742153375,7.649862038,7.557570701,7.465279364,7.530348718,7.595418071,7.660487425,7.725556778,7.790626132,7.855695486,7.920764839,7.880048975,7.839333111,7.798617247,7.757901383,7.717185518,7.676469654,7.63575379,7.595037926,7.554322062,7.513606197,7.51330289,7.512999583,7.512696276,7.512392969,7.512089662,7.511786355,7.511483048,7.337590897,7.163698746,6.989806596,6.815914445,6.642022294,6.468130143,6.294237992,6.366866373,6.439494754,6.512123135,6.584751516,6.657379897,6.730008278,6.802636659,6.839527691,6.876418722,6.913309754,6.950200786,6.987091818,7.02398285,7.060873881,7.047962687,7.035051492,7.022140297,7.009229103,6.996317908,6.983406714,6.970495519,6.862257158,6.754018796,6.645780435,6.537542074,6.429303713,6.321065351,6.21282699,6.104588629,5.996350268,6.021581912,5.971118624,5.94588698,5.920655336,5.895423692,5.870192048,5.844960404,5.81972876,5.794497116,5.769265472,5.744033828,5.69357054,5.779578465,5.607562615,5.521554689,5.435546764,5.349538838,5.263530913,5.091515062,5.022055863,4.952596663,4.883137463,4.813678264,4.744219064,4.674759864,4.605300665,4.535841465,4.502725967,4.46961047,4.436494972,4.403379474,4.370263976,4.337148479,4.304032981,4.270917483,4.323683534,4.376449585,4.429215636,4.481981687,4.534747739,4.58751379,4.640279841,4.61760674,4.594933639,4.572260538,4.549587437,4.526914335,4.504241234,4.481568133,4.458895032,4.436221931,4.41354883,4.390875729,4.368202628,4.345529527,4.342369487,4.339209448,4.336049408,4.332889368,4.329729328,4.326569289,4.323409249,4.320249209,4.31708917,4.31392913,4.31076909,4.307609051,4.304449011,4.301288971,4.298128932,4.294968892,4.291808852,4.288648813,4.285488773,4.282328733
4,control,CLOV,R1,G-00,T90,15640,0,15.03465857,14.80849169,14.24601007,13.68352845,14.08677032,14.49001219,14.38734648,14.28468076,13.01123602,11.73779128,12.31622921,12.89466714,13.47310508,11.64890228,11.64890228,11.82680668,12.00471108,12.18261547,12.36051987,12.25582981,12.15113976,12.0464497,11.74639002,11.44633034,11.14627066,10.84621098,10.54644029,10.2466696,9.94689891,9.947157697,9.947416483,9.947675269,9.947934055,9.932881686,9.917829317,9.902776947,9.726915316,9.551053685,9.375192054,9.199330423,9.023468792,8.847607161,8.671745529,8.517609933,8.363474336,8.209338739,8.055203143,7.901067546,7.746931949,7.592796352,7.531082297,7.469368241,7.407654185,7.34594013,7.284226074,7.222512018,7.160797963,7.210790589,7.260783215,7.310775842,7.360768468,7.410761094,7.460753721,7.510746347,7.412378521,7.314010696,7.21564287,7.117275044,7.018907219,6.920539393,6.822171567,6.723803742,6.625435916,6.52706809,6.552699051,6.578330011,6.603960971,6.629591932,6.655222892,6.680853853,6.706484813,6.487033359,6.267581906,6.048130452,5.828678998,5.609227544,5.38977609,5.170324637,5.252216488,5.33410834,5.416000192,5.497892043,5.579783895,5.661675747,5.743567598,5.751028136,5.758488673,5.765949211,5.773409749,5.780870286,5.788330824,5.795791361,5.812537001,5.829282641,5.846028281,5.862773921,5.879519561,5.896265201,5.913010841,5.872169571,5.831328302,5.790487033,5.749645763,5.708804494,5.667963224,5.627121955,5.586280686,5.545439416,5.546371581,5.544507251,5.543575086,5.542642922,5.541710757,5.540778592,5.539846427,5.538914262,5.537982097,5.537049932,5.536117767,5.534253438,5.636134423,5.432372452,5.330491467,5.228610481,5.126729496,5.024848511,4.82108654,4.751291002,4.681495464,4.611699926,4.541904388,4.47210885,4.402313312,4.332517774,4.262722236,4.270155709,4.277589181,4.285022654,4.292456126,4.299889599,4.307323071,4.314756544,4.322190016,4.33841544,4.354640864,4.370866288,4.387091713,4.403317137,4.419542561,4.435767985,4.404612464,4.373456944,4.342301423,4.311145903,4.279990382,4.248834861,4.217679341,4.18652382,4.1553683,4.124212779,4.093057259,4.061901738,4.030746218,4.010885532,3.991024847,3.971164162,3.951303477,3.931442792,3.911582107,3.891721422,3.871860737,3.852000052,3.832139367,3.812278682,3.792417996,3.772557311,3.752696626,3.732835941,3.712975256,3.693114571,3.673253886,3.653393201,3.633532516
6,control,NONE,R1,G-50,T90,12210,0,21.45896594,9.52470453,8.861998831,8.199293132,8.341707783,8.484122434,8.360485015,8.236847597,7.531614393,6.82638119,7.258953286,7.691525382,8.124097478,6.960757925,6.960757925,7.080961924,7.201165923,7.321369921,7.44157392,7.430904431,7.420234943,7.409565455,7.225622186,7.041678917,6.857735648,6.673792379,6.509869465,6.345946552,6.182023639,6.181645714,6.18126779,6.180889866,6.180511941,6.235784758,6.291057576,6.346330393,6.231527756,6.11672512,6.001922484,5.887119847,5.772317211,5.657514575,5.542711938,5.466408868,5.390105797,5.313802727,5.237499656,5.161196586,5.084893515,5.008590445,5.000251414,4.991912384,4.983573354,4.975234323,4.966895293,4.958556263,4.950217232,4.980109984,5.010002735,5.039895487,5.069788238,5.09968099,5.129573741,5.159466493,5.131221331,5.10297617,5.074731008,5.046485847,5.018240685,4.989995524,4.961750363,4.933505201,4.90526004,4.877014878,4.916898382,4.956781885,4.996665389,5.036548892,5.076432396,5.116315899,5.156199403,4.957011031,4.757822659,4.558634287,4.359445915,4.160257544,3.961069172,3.7618808,3.848743621,3.935606442,4.022469263,4.109332085,4.196194906,4.283057727,4.369920548,4.377420972,4.384921396,4.39242182,4.399922244,4.407422668,4.414923092,4.422423516,4.410468712,4.398513908,4.386559105,4.374604301,4.362649498,4.350694694,4.33873989,4.298182997,4.257626104,4.217069211,4.176512318,4.135955424,4.095398531,4.054841638,4.014284745,3.973727852,3.973397755,3.974057948,3.974388044,3.974718141,3.975048237,3.975378334,3.97570843,3.976038526,3.976368623,3.976698719,3.977028816,3.977689008,4.051593121,3.903784896,3.829880784,3.755976672,3.68207256,3.608168447,3.460360223,3.406712905,3.353065588,3.29941827,3.245770953,3.192123635,3.138476317,3.084829,3.031181682,3.039163706,3.047145729,3.055127752,3.063109776,3.071091799,3.079073822,3.087055846,3.095037869,3.10238566,3.109733452,3.117081243,3.124429034,3.131776825,3.139124616,3.146472407,3.140724893,3.134977379,3.129229865,3.123482351,3.117734837,3.111987322,3.106239808,3.100492294,3.09474478,3.088997266,3.083249752,3.077502237,3.071754723,3.065806161,3.059857598,3.053909035,3.047960473,3.04201191,3.036063348,3.030114785,3.024166222,3.01821766,3.012269097,3.006320535,3.000371972,2.994423409,2.988474847,2.982526284,2.976577721,2.970629159,2.964680596,2.958732034,2.952783471
8,control,NONE,R1,G-00,T90,11650,0,8.297698053,8.436583777,8.091060126,7.745536476,8.090363848,8.435191221,9.249837771,10.06448432,8.619168435,7.173852549,7.473113088,7.772373626,8.071634165,6.872420719,6.872420719,6.952550224,7.032679729,7.112809234,7.192938739,7.449292808,7.705646878,7.962000947,7.706962538,7.451924129,7.19688572,6.941847311,6.80618125,6.670515188,6.534849126,6.502518309,6.470187492,6.437856675,6.405525858,6.451935584,6.498345311,6.544755037,6.47234831,6.399941584,6.327534857,6.25512813,6.182721403,6.110314677,6.03790795,5.916776162,5.795644373,5.674512585,5.553380797,5.432249008,5.31111722,5.189985432,5.117571409,5.045157387,4.972743365,4.900329343,4.827915321,4.755501299,4.683087277,4.780186469,4.877285661,4.974384853,5.071484045,5.168583237,5.265682429,5.362781621,5.392457869,5.422134117,5.451810364,5.481486612,5.51116286,5.540839107,5.570515355,5.600191603,5.62986785,5.659544098,5.524158915,5.388773733,5.25338855,5.118003367,4.982618185,4.847233002,4.711847819,4.581063815,4.450279811,4.319495808,4.188711804,4.0579278,3.927143796,3.796359792,3.871308606,3.94625742,4.021206234,4.096155048,4.171103862,4.246052676,4.32100149,4.285133642,4.249265793,4.213397944,4.177530096,4.141662247,4.105794398,4.06992655,4.071613829,4.073301108,4.074988388,4.076675667,4.078362947,4.080050226,4.081737505,4.07563266,4.069527814,4.063422969,4.057318124,4.051213278,4.045108433,4.039003587,4.032898742,4.026793897,4.037463716,4.016124077,4.005454258,3.994784439,3.984114619,3.9734448,3.962774981,3.952105161,3.941435342,3.930765523,3.920095703,3.898756064,3.961209932,3.836302197,3.77384833,3.711394462,3.648940595,3.586486727,3.461578992,3.402391009,3.343203025,3.284015042,3.224827058,3.165639074,3.106451091,3.047263107,2.988075124,2.984886331,2.981697538,2.978508745,2.975319952,2.972131159,2.968942367,2.965753574,2.962564781,2.995001417,3.027438053,3.059874689,3.092311325,3.124747961,3.157184597,3.189621233,3.170369483,3.151117734,3.131865984,3.112614235,3.093362486,3.074110736,3.054858987,3.035607237,3.016355488,2.997103738,2.977851989,2.958600239,2.93934849,2.936844933,2.934341377,2.931837821,2.929334264,2.926830708,2.924327151,2.921823595,2.919320038,2.916816482,2.914312925,2.911809369,2.909305812,2.906802256,2.904298699,2.901795143,2.899291586,2.89678803,2.894284473,2.891780917,2.889277361
10,control,SHMX,R1,G-50,T90,16460,0,31.06987271,18.17539961,17.09893902,16.02247843,16.25782784,16.49317724,16.89360765,17.29403807,15.28676258,13.27948709,13.92202838,14.56456967,15.20711096,12.8998016,12.8998016,13.05168876,13.20357593,13.3554631,13.50735027,13.49960318,13.49185609,13.484109,12.98645076,12.48879252,11.99113428,11.49347604,11.10455424,10.71563244,10.32671064,10.34168338,10.35665611,10.37162884,10.38660158,10.517354,10.64810641,10.77885883,10.5305927,10.28232658,10.03406045,9.785794318,9.537528189,9.289262061,9.040995932,8.879323849,8.717651766,8.555979683,8.3943076,8.232635517,8.070963434,7.909291351,7.887410583,7.865529815,7.843649048,7.82176828,7.799887512,7.778006745,7.756125977,7.677262885,7.598399792,7.5195367,7.440673607,7.361810515,7.282947423,7.20408433,7.140341619,7.076598907,7.012856195,6.949113484,6.885370772,6.821628061,6.757885349,6.694142638,6.630399926,6.566657215,6.571093133,6.575529051,6.57996497,6.584400888,6.588836806,6.593272725,6.597708643,6.405897969,6.214087295,6.022276622,5.830465948,5.638655274,5.4468446,5.255033926,5.308559105,5.362084283,5.415609461,5.469134639,5.522659817,5.576184995,5.629710174,5.631169315,5.632628457,5.634087599,5.635546741,5.637005883,5.638465025,5.639924167,5.658937787,5.677951407,5.696965026,5.715978646,5.734992266,5.754005886,5.773019505,5.739554576,5.706089647,5.672624718,5.639159789,5.605694859,5.57222993,5.538765001,5.505300072,5.471835143,5.465795365,5.47787492,5.483914698,5.489954475,5.495994253,5.50203403,5.508073808,5.514113585,5.520153363,5.52619314,5.532232918,5.544312473,5.653804766,5.434820179,5.325327886,5.215835593,5.1063433,4.996851006,4.77786642,4.712310351,4.646754282,4.581198213,4.515642144,4.450086075,4.384530006,4.318973937,4.253417868,4.241433626,4.229449384,4.217465142,4.2054809,4.193496658,4.181512416,4.169528174,4.157543932,4.20790682,4.258269707,4.308632595,4.358995483,4.409358371,4.459721259,4.510084146,4.475798101,4.441512056,4.40722601,4.372939965,4.33865392,4.304367874,4.270081829,4.235795784,4.201509738,4.167223693,4.132937648,4.098651602,4.064365557,4.065666537,4.066967517,4.068268497,4.069569477,4.070870457,4.072171437,4.073472416,4.074773396,4.076074376,4.077375356,4.078676336,4.079977316,4.081278296,4.082579276,4.083880256,4.085181236,4.086482216,4.087783196,4.089084176,4.090385156
12,control,SHMX,R1,G-00,T90,15810,0,16.11214219,16.45024867,15.66843603,14.88662339,15.45413069,16.021638,16.5666325,17.111627,15.43894313,13.76625926,14.32501576,14.88377227,15.44252877,13.1067724,13.1067724,13.19743861,13.28810482,13.37877103,13.46943724,13.36916387,13.26889051,13.16861714,12.77347194,12.37832674,11.98318154,11.58803634,11.23546868,10.88290102,10.53033336,10.57039427,10.61045517,10.65051607,10.69057697,10.65322198,10.61586699,10.578512,10.42652939,10.27454677,10.12256416,9.970581539,9.818598923,9.666616307,9.51463369,9.284359225,9.054084759,8.823810293,8.593535827,8.363261361,8.132986895,7.90271243,7.875084511,7.847456592,7.819828673,7.792200754,7.764572835,7.736944916,7.709316997,7.629481573,7.549646148,7.469810724,7.389975299,7.310139875,7.23030445,7.150469025,7.086197826,7.021926627,6.957655428,6.893384228,6.829113029,6.76484183,6.70057063,6.636299431,6.572028232,6.507757033,6.514486716,6.5212164,6.527946084,6.534675767,6.541405451,6.548135135,6.554864818,6.384352611,6.213840404,6.043328198,5.872815991,5.702303784,5.531791577,5.36127937,5.388137951,5.414996532,5.441855114,5.468713695,5.495572276,5.522430858,5.549289439,5.569296727,5.589304015,5.609311303,5.629318591,5.649325879,5.669333167,5.689340455,5.676880384,5.664420313,5.651960242,5.639500171,5.6270401,5.614580029,5.602119958,5.577286051,5.552452143,5.527618236,5.502784329,5.477950422,5.453116514,5.428282607,5.4034487,5.378614793,5.380227607,5.377001978,5.375389164,5.373776349,5.372163535,5.37055072,5.368937906,5.367325091,5.365712277,5.364099462,5.362486648,5.359261019,5.465908954,5.252613084,5.145965148,5.039317213,4.932669278,4.826021343,4.612725473,4.568226793,4.523728114,4.479229434,4.434730755,4.390232076,4.345733396,4.301234717,4.256736037,4.222924862,4.189113687,4.155302512,4.121491337,4.087680162,4.053868986,4.020057811,3.986246636,4.024569473,4.062892311,4.101215148,4.139537985,4.177860823,4.21618366,4.254506497,4.243450071,4.232393645,4.221337219,4.210280793,4.199224368,4.188167942,4.177111516,4.16605509,4.154998664,4.143942238,4.132885812,4.121829386,4.11077296,4.098856933,4.086940906,4.07502488,4.063108853,4.051192826,4.039276799,4.027360772,4.015444745,4.003528718,3.991612691,3.979696664,3.967780637,3.955864611,3.943948584,3.932032557,3.92011653,3.908200503,3.896284476,3.884368449,3.872452422
14,control,WHCL,R1,G-50,T90,14870,0,34.26426156,20.73605695,19.6661305,18.59620405,19.02942323,19.46264241,20.34017481,21.21770721,18.5780495,15.93839178,16.39592565,16.85345952,17.31099339,14.67243569,14.67243569,14.69483328,14.71723087,14.73962846,14.76202605,14.74700828,14.73199051,14.71697274,14.19953935,13.68210596,13.16467257,12.64723918,12.17130525,11.69537132,11.21943739,11.37527266,11.53110792,11.68694319,11.84277845,11.29928787,10.75579729,10.21230671,10.360496,10.50868529,10.65687458,10.80506387,10.95325316,11.10144245,11.24963173,10.77012809,10.29062444,9.811120797,9.331617152,8.852113506,8.372609861,7.893106215,7.765269335,7.637432456,7.509595576,7.381758697,7.253921817,7.126084938,6.998248058,6.992507045,6.986766031,6.981025018,6.975284005,6.969542991,6.963801978,6.958060965,6.882031035,6.806001105,6.729971175,6.653941245,6.577911315,6.501881385,6.425851455,6.349821526,6.273791596,6.197761666,6.170740196,6.143718726,6.116697256,6.089675785,6.062654315,6.035632845,6.008611375,5.83728272,5.665954064,5.494625408,5.323296752,5.151968097,4.980639441,4.809310785,4.907129647,5.004948509,5.102767371,5.200586233,5.298405095,5.396223957,5.494042819,5.459326842,5.424610866,5.38989489,5.355178914,5.320462938,5.285746962,5.251030986,5.22397662,5.196922255,5.169867889,5.142813523,5.115759158,5.088704792,5.061650426,5.046776733,5.03190304,5.017029347,5.002155655,4.987281962,4.972408269,4.957534576,4.942660883,4.92778719,4.928212122,4.927362257,4.926937325,4.926512393,4.92608746,4.925662528,4.925237596,4.924812663,4.924387731,4.923962798,4.923537866,4.922688001,5.018774681,4.826601322,4.730514642,4.634427963,4.538341283,4.442254604,4.250081245,4.203749731,4.157418218,4.111086704,4.06475519,4.018423677,3.972092163,3.925760649,3.879429136,3.852823191,3.826217246,3.799611301,3.773005356,3.746399411,3.719793466,3.693187521,3.666581576,3.717617429,3.768653281,3.819689134,3.870724986,3.921760839,3.972796691,4.023832544,3.998239003,3.972645462,3.947051921,3.92145838,3.89586484,3.870271299,3.844677758,3.819084217,3.793490676,3.767897136,3.742303595,3.716710054,3.691116513,3.675465978,3.659815444,3.644164909,3.628514374,3.612863839,3.597213305,3.58156277,3.565912235,3.5502617,3.534611166,3.518960631,3.503310096,3.487659562,3.472009027,3.456358492,3.440707957,3.425057423,3.409406888,3.393756353,3.378105818
16,control,WHCL,R1,G-00,T90,14680,0,20.67115021,20.39553504,19.40914217,18.4227493,18.89356692,19.36438454,20.43037623,21.49636791,18.55303491,15.60970191,16.32432749,17.03895306,17.75357863,15.17504954,15.17504954,15.30859964,15.44214973,15.57569983,15.70924992,15.32627634,14.94330275,14.56032917,13.91038203,13.2604349,12.61048777,11.96054063,11.53804431,11.11554798,10.69305165,10.78401532,10.87497899,10.96594266,11.05690633,11.11117656,11.16544678,11.219717,11.066277,10.91283699,10.75939698,10.60595698,10.45251697,10.29907696,10.14563696,9.826800375,9.507963795,9.189127214,8.870290633,8.551454052,8.232617471,7.91378089,7.81621508,7.718649269,7.621083459,7.523517648,7.425951838,7.328386027,7.230820217,7.146526288,7.062232359,6.97793843,6.893644501,6.809350573,6.725056644,6.640762715,6.587458705,6.534154694,6.480850684,6.427546674,6.374242664,6.320938653,6.267634643,6.214330633,6.161026622,6.107722612,6.099179162,6.090635712,6.082092263,6.073548813,6.065005363,6.056461913,6.047918463,5.891661957,5.735405452,5.579148946,5.422892441,5.266635935,5.110379429,4.954122924,5.023811928,5.093500932,5.163189937,5.232878941,5.302567946,5.37225695,5.441945954,5.43528096,5.428615965,5.42195097,5.415285975,5.408620981,5.401955986,5.395290991,5.3905557,5.385820409,5.381085117,5.376349826,5.371614535,5.366879243,5.362143952,5.310616633,5.259089315,5.207561997,5.156034678,5.10450736,5.052980041,5.001452723,4.949925404,4.898398086,4.893735853,4.903060318,4.90772255,4.912384782,4.917047015,4.921709247,4.926371479,4.931033712,4.935695944,4.940358176,4.945020408,4.954344873,5.049399338,4.859290407,4.764235942,4.669181477,4.574127011,4.479072546,4.288963615,4.236771455,4.184579294,4.132387134,4.080194974,4.028002814,3.975810654,3.923618493,3.871426333,3.857651905,3.843877477,3.830103049,3.816328621,3.802554193,3.788779765,3.775005337,3.761230909,3.807525439,3.85381997,3.9001145,3.94640903,3.992703561,4.038998091,4.085292622,4.070509694,4.055726767,4.040943839,4.026160912,4.011377984,3.996595056,3.981812129,3.967029201,3.952246274,3.937463346,3.922680419,3.907897491,3.893114564,3.870221259,3.847327954,3.82443465,3.801541345,3.778648041,3.755754736,3.732861431,3.709968127,3.687074822,3.664181517,3.641288213,3.618394908,3.595501603,3.572608299,3.549714994,3.526821689,3.503928385,3.48103508,3.458141776,3.435248471
18,control,WHEA,R1,G-50,T90,15520,0,35.6399786,27.27753893,26.05257768,24.82761644,25.21927074,25.61092504,25.21202147,24.81311791,21.7838309,18.75454389,19.29518074,19.83581758,20.37645442,18.53609574,18.53609574,18.57520461,18.61431349,18.65342237,18.69253124,18.11322711,17.53392298,16.95461885,16.26635133,15.5780838,14.88981627,14.20154874,13.89093639,13.58032403,13.26971168,13.09078659,12.9118615,12.7329364,12.55401131,12.29311294,12.03221456,11.77131619,11.63537151,11.49942684,11.36348216,11.22753749,11.09159282,10.95564814,10.81970347,10.42799825,10.03629302,9.644587803,9.252882581,8.861177359,8.469472138,8.077766916,7.940187851,7.802608786,7.665029721,7.527450656,7.389871591,7.252292526,7.114713461,7.121521152,7.128328843,7.135136534,7.141944225,7.148751916,7.155559608,7.162367299,7.129760472,7.097153646,7.06454682,7.031939993,6.999333167,6.966726341,6.934119514,6.901512688,6.868905861,6.836299035,6.675409517,6.514519999,6.353630481,6.192740963,6.031851445,5.870961928,5.71007241,5.619853457,5.529634505,5.439415553,5.349196601,5.258977649,5.168758696,5.078539744,5.102939442,5.127339139,5.151738837,5.176138535,5.200538232,5.22493793,5.249337628,5.218044752,5.186751877,5.155459001,5.124166126,5.09287325,5.061580375,5.0302875,5.078787925,5.12728835,5.175788775,5.2242892,5.272789625,5.321290051,5.369790476,5.328327882,5.286865289,5.245402696,5.203940102,5.162477509,5.121014915,5.079552322,5.038089729,4.996627135,4.987790458,5.005463812,5.014300489,5.023137166,5.031973843,5.040810519,5.049647196,5.058483873,5.06732055,5.076157227,5.084993904,5.102667257,5.225792941,4.979541573,4.856415889,4.733290205,4.610164521,4.487038837,4.240787469,4.208909403,4.177031338,4.145153272,4.113275207,4.081397141,4.049519076,4.01764101,3.985762945,3.986503898,3.987244852,3.987985806,3.98872676,3.989467713,3.990208667,3.990949621,3.991690575,4.02488265,4.058074726,4.091266802,4.124458877,4.157650953,4.190843028,4.224035104,4.192239338,4.160443571,4.128647805,4.096852038,4.065056272,4.033260506,4.001464739,3.969668973,3.937873207,3.90607744,3.874281674,3.842485907,3.810690141,3.795968124,3.781246107,3.76652409,3.751802073,3.737080057,3.72235804,3.707636023,3.692914006,3.678191989,3.663469972,3.648747955,3.634025939,3.619303922,3.604581905,3.589859888,3.575137871,3.560415854,3.545693837,3.53097182,3.516249804
20,control,WHEA,R1,G-00,T90,15390,0,30.18135623,30.3354447,28.74520539,27.15496607,26.53735467,25.91974327,24.92330669,23.92687011,20.96049874,17.99412736,18.77369056,19.55325375,20.33281694,17.07157154,17.07157154,16.65164457,16.23171761,15.81179064,15.39186367,15.28719617,15.18252868,15.07786118,14.38145076,13.68504033,12.9886299,12.29221948,12.07201743,11.85181538,11.63161333,11.27060219,10.90959105,10.54857991,10.18756877,10.04206229,9.896555807,9.751049326,9.75297044,9.754891554,9.756812668,9.758733782,9.760654896,9.76257601,9.764497124,9.573053852,9.381610581,9.19016731,8.998724039,8.807280767,8.615837496,8.424394225,8.286185398,8.147976571,8.009767744,7.871558916,7.733350089,7.595141262,7.456932435,7.366993644,7.277054852,7.187116061,7.09717727,7.007238478,6.917299687,6.827360895,6.779908469,6.732456043,6.685003618,6.637551192,6.590098766,6.54264634,6.495193914,6.447741488,6.400289062,6.352836636,6.242950117,6.133063597,6.023177078,5.913290558,5.803404039,5.693517519,5.583631,5.455106314,5.326581629,5.198056943,5.069532257,4.941007572,4.812482886,4.6839582,4.717140213,4.750322227,4.78350424,4.816686253,4.849868267,4.88305028,4.916232293,4.910417759,4.904603225,4.898788691,4.892974157,4.887159623,4.881345089,4.875530555,4.897794851,4.920059147,4.942323444,4.96458774,4.986852036,5.009116332,5.031380629,4.968127662,4.904874696,4.841621729,4.778368763,4.715115796,4.65186283,4.588609864,4.525356897,4.462103931,4.460377823,4.463830039,4.465556147,4.467282255,4.469008363,4.470734471,4.472460579,4.474186687,4.475912795,4.477638903,4.479365012,4.482817228,4.535040716,4.43059374,4.378370251,4.326146763,4.273923275,4.221699787,4.117252811,4.098116892,4.078980973,4.059845054,4.040709135,4.021573216,4.002437297,3.983301377,3.964165458,3.922086876,3.880008293,3.83792971,3.795851127,3.753772544,3.711693962,3.669615379,3.627536796,3.700945592,3.774354389,3.847763185,3.921171982,3.994580778,4.067989575,4.141398371,4.111406175,4.081413978,4.051421782,4.021429585,3.991437389,3.961445192,3.931452995,3.901460799,3.871468602,3.841476406,3.811484209,3.781492013,3.751499816,3.712072159,3.672644501,3.633216844,3.593789187,3.554361529,3.514933872,3.475506215,3.436078557,3.3966509,3.357223243,3.317795586,3.278367928,3.238940271,3.199512614,3.160084956,3.120657299,3.081229642,3.041801984,3.002374327,2.96294667
