Sample number,Moisture treatment,Residue type,Lab rep,Glucose addition treatment,Harvest day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
2,Ambient,CLOV,R1,G-50,T90,0,9.067620397,10.03575386,10.8003908,11.36153122,11.85972261,12.29496496,12.68393452,13.02663129,13.32061604,13.56588878,13.81737198,14.07506564,14.33896977,14.56746079,14.7605387,14.95493757,15.15065738,15.34769816,15.54605988,15.73682582,15.91999597,16.09557033,16.26284044,16.4218063,16.57246792,16.71482528,16.84927249,16.97580955,17.09443646,17.21233443,17.32950346,17.44594356,17.56165472,17.67367625,17.78200814,17.8866504,17.98768984,18.08512646,18.17896026,18.26919124,18.3558194,18.43884473,18.51826725,18.59768976,18.67711228,18.7565348,18.83595731,18.91537983,18.99480234,19.07422486,19.15025685,19.22289832,19.29214927,19.35800969,19.42047959,19.47955896,19.53524781,19.59089034,19.64648655,19.70203643,19.75753998,19.81299722,19.86840812,19.92377271,19.97850062,20.03259186,20.08604642,20.13886431,20.19104552,20.24259007,20.29349793,20.34376913,20.39340365,20.4424015,20.49117596,20.53972704,20.58805473,20.63615904,20.68403997,20.73169751,20.77913167,20.82525725,20.87007424,20.91358265,20.95578247,20.99667371,21.03625637,21.07453044,21.11302766,21.15174802,21.19069153,21.22985818,21.26924797,21.30886091,21.348697,21.3884614,21.42815412,21.46777516,21.50732452,21.5468022,21.5862082,21.62554252,21.6646305,21.70347215,21.74206748,21.78041647,21.81851913,21.85637546,21.89398546,21.9310848,21.96767348,22.00375151,22.03931887,22.07437558,22.10892164,22.14295703,22.17648177,22.20949585,22.24268578,22.27552401,22.3081864,22.34067294,22.37298363,22.40511848,22.43707748,22.46886063,22.50046793,22.53189939,22.563155,22.59405892,22.62553162,22.65586676,22.68563312,22.71483071,22.74345952,22.77151955,22.79844202,22.82500057,22.85119518,22.87702587,22.90249263,22.92759545,22.95233435,22.97670931,23.00072035,23.02450719,23.04806985,23.07140833,23.09452261,23.11741271,23.14007862,23.16252034,23.18473787,23.20714612,23.22974509,23.25253478,23.27551518,23.2986863,23.32204814,23.34560069,23.36909368,23.3925271,23.41590096,23.43921526,23.46246999,23.48566515,23.50880075,23.53187678,23.55489325,23.57785015,23.60074749,23.62358526,23.64636347,23.66908448,23.69174829,23.71435491,23.73690432,23.75939654,23.78183157,23.80420939,23.82653002,23.84879345,23.87099968,23.89314872,23.91524056,23.9372752,23.95925264,23.98117289,24.00303594,24.02484179,24.04659044,24.0682819,24.08991616
4,Ambient,CLOV,R1,G-00,T90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Ambient,NONE,R1,G-50,T90,0,15.28532248,16.18512684,16.8729955,17.34892846,17.77888297,18.16285902,18.49939058,18.78847762,19.03018422,19.22451038,19.4251182,19.63200768,19.84517881,20.02546762,20.17287409,20.32027808,20.46767957,20.61507857,20.76247509,20.9062765,21.04648282,21.18309403,21.31196744,21.43310304,21.54650082,21.6521608,21.75208951,21.84628697,21.93475316,22.02147123,22.10644118,22.189663,22.2711367,22.35103339,22.42935307,22.50609574,22.58044313,22.65239526,22.72195211,22.7891137,22.85388001,22.91625106,22.97622683,23.03620261,23.09617838,23.15615415,23.21612993,23.2761057,23.33608148,23.39605725,23.45370074,23.50901195,23.56199088,23.61263753,23.66095189,23.70693397,23.75058377,23.79449839,23.83867782,23.88312207,23.92783114,23.97280502,24.01804372,24.06354723,24.10871946,24.15356041,24.19807007,24.24224844,24.28609552,24.32961132,24.37279583,24.41564905,24.45817099,24.50036165,24.54239401,24.58426807,24.62598385,24.66754133,24.70894052,24.75018141,24.79126402,24.83069996,24.86848924,24.90463185,24.93912781,24.9719771,25.00317972,25.03273569,25.06247383,25.09239414,25.12249663,25.1527813,25.18324814,25.21389715,25.24472834,25.27543152,25.30600669,25.33645385,25.366773,25.39696414,25.42702728,25.4569624,25.4866221,25.51600638,25.54511523,25.57394865,25.60250664,25.63078921,25.65879635,25.68648623,25.71385883,25.74091417,25.76765224,25.79407304,25.82017657,25.84596284,25.87143183,25.89658356,25.92186373,25.94688701,25.97178185,25.99654825,26.0211862,26.04569571,26.07007677,26.09432939,26.11845357,26.14244931,26.1663166,26.189927,26.21413075,26.2371478,26.25957151,26.28140188,26.30263889,26.32328256,26.34273953,26.36178345,26.3804143,26.39863209,26.41643682,26.4338285,26.45080711,26.46737266,26.48352515,26.49964291,26.51572592,26.53177419,26.54778772,26.56376651,26.57971056,26.59561987,26.61149444,26.62735773,26.64320974,26.65905047,26.67487993,26.6906981,26.706505,26.72230061,26.73809525,26.7538889,26.76968157,26.78547327,26.80126397,26.8170537,26.83284245,26.84863021,26.864417,26.8802028,26.89598762,26.91177146,26.92755432,26.94329903,26.95900558,26.97467399,26.99030424,27.00589634,27.02145029,27.03696608,27.05244373,27.06788322,27.08328456,27.09864775,27.11397279,27.12925967,27.14450841,27.15971899,27.17489142,27.1900257,27.20512183,27.2201798,27.23519963
8,Ambient,NONE,R1,G-00,T90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Ambient,SHMX,R1,G-50,T90,0,12.73671846,13.74937464,14.54151284,15.11313305,15.61572543,16.04928996,16.43754621,16.78049418,17.06926767,17.30386666,17.5404964,17.77915687,18.01984808,18.22909106,18.40688579,18.58322154,18.75809833,18.93151614,19.10347497,19.26949706,19.42958241,19.58373101,19.73104312,19.87151875,20.0051579,20.13196057,20.2526992,20.36737377,20.4759843,20.58326472,20.68921501,20.79383518,20.89712524,20.99974374,21.1016907,21.2029661,21.30087857,21.39542811,21.48661471,21.57443837,21.6588991,21.7399969,21.81773176,21.89546663,21.97320149,22.05093635,22.12867121,22.20640607,22.28414094,22.3618758,22.43685708,22.50908478,22.5785589,22.64527944,22.7092464,22.77045977,22.82891957,22.88722173,22.94536625,23.00335314,23.0611824,23.11885402,23.17636801,23.23372436,23.29052306,23.34676411,23.40244751,23.45757327,23.51214137,23.56615182,23.61960462,23.67249978,23.72483728,23.77661713,23.82851516,23.88053137,23.93266575,23.9849183,24.03728903,24.08977793,24.14238501,24.19321095,24.24225576,24.28951944,24.33500198,24.37870338,24.42062365,24.46076279,24.50106994,24.54154512,24.58218833,24.62299955,24.6639788,24.70512607,24.74644136,24.78767197,24.82881789,24.86987911,24.91085566,24.95174751,24.99255468,25.03327715,25.07428314,25.11557263,25.15714562,25.19900212,25.24114213,25.28356564,25.32627266,25.36859804,25.4105418,25.45210392,25.49328441,25.53408328,25.57450051,25.61453611,25.65419007,25.69346241,25.73280769,25.77200708,25.81113352,25.85018702,25.88916757,25.92807517,25.96690982,26.00567153,26.04436029,26.08297611,26.12151897,26.15991595,26.19915191,26.23670989,26.27342888,26.30930887,26.34434987,26.37855188,26.4110759,26.44302067,26.47438619,26.50517246,26.53537948,26.56500726,26.59405578,26.62252505,26.65041507,26.67813665,26.7056898,26.73307451,26.76029078,26.78733861,26.81421801,26.84092896,26.86747149,26.89429331,26.92139445,26.94877489,26.97643464,27.0043737,27.03259206,27.06108973,27.08943154,27.1176175,27.1456476,27.17352185,27.20124024,27.22880277,27.25620944,27.28346026,27.31055522,27.33749433,27.36427758,27.39090497,27.4173765,27.44386297,27.47036437,27.49688071,27.52341197,27.54995817,27.5765193,27.60309536,27.62968635,27.65629228,27.68291314,27.70954893,27.73619965,27.7628653,27.78954589,27.81624141,27.84295186,27.86967725,27.89641756,27.92317281,27.94994299
12,Ambient,SHMX,R1,G-00,T90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ambient,WHCL,R1,G-50,T90,0,12.57848374,13.67071733,14.52454234,15.13995877,15.68491019,16.15939659,16.58862163,16.97258528,17.3012726,17.57468357,17.85301657,18.13627158,18.42444861,18.67610825,18.8912505,19.10718123,19.32390043,19.5414081,19.75970425,19.97178009,20.17763562,20.37727086,20.56914047,20.75324446,20.92958283,21.09815559,21.25864031,21.411037,21.55534566,21.69835013,21.84005041,21.9804465,22.11953839,22.24638017,22.36097184,22.46331339,22.56479416,22.66541414,22.76517333,22.86407173,22.96210934,23.05928617,23.1556022,23.25191824,23.34823428,23.44455031,23.54086635,23.63718238,23.73349842,23.82981445,23.91999085,24.0040276,24.0819247,24.15368216,24.21929998,24.27877816,24.33211669,24.38497383,24.43734958,24.48924395,24.54065692,24.5915885,24.6420387,24.6920075,24.7412084,24.7896414,24.83730649,24.88420368,24.93033296,24.97569433,25.02028781,25.06411337,25.10717104,25.14946079,25.19149242,25.23326591,25.27478126,25.31603848,25.35703757,25.39777852,25.43826133,25.47736479,25.51508889,25.55143364,25.58639903,25.61998507,25.65219175,25.68301907,25.7142287,25.74582062,25.77779484,25.81015137,25.84289019,25.87601131,25.90951473,25.94267516,25.9754926,26.00796704,26.04009849,26.07188695,26.10333242,26.13443489,26.16536891,26.19613446,26.22673155,26.25716018,26.28742035,26.31751207,26.34743532,26.37721399,26.4068481,26.43633763,26.46568258,26.49488296,26.52393877,26.55285,26.58161666,26.61023874,26.6389451,26.66748291,26.69593642,26.72430566,26.75259061,26.78079129,26.80890768,26.83693978,26.86488761,26.89275115,26.92053041,26.94814111,26.97631573,27.0033625,27.02984534,27.05576424,27.08111922,27.10591027,27.12957346,27.15291302,27.17592895,27.19862125,27.22098992,27.24303496,27.26475636,27.28615414,27.30722828,27.3281429,27.34889799,27.36949356,27.38992961,27.41020613,27.43032313,27.4502806,27.47007855,27.49013769,27.51045803,27.53103955,27.55188227,27.57298618,27.59435129,27.61597759,27.63756266,27.65910651,27.68060913,27.70207053,27.7234907,27.74486965,27.76620737,27.78750387,27.80875914,27.82997319,27.85114601,27.87227761,27.89336798,27.91438059,27.93531543,27.95617251,27.97695183,27.99765337,28.01827716,28.03882317,28.05929143,28.07968191,28.09999464,28.1202296,28.14038679,28.16046622,28.18046788,28.20039178,28.22023791,28.24000628,28.25969688,28.27930972,28.29884479
16,Ambient,WHCL,R1,G-00,T90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Ambient,WHEA,R1,G-50,T90,0,10.58675109,11.76542211,12.68449261,13.3439626,13.90857768,14.37833785,14.80260889,15.18139079,15.50194463,15.76427041,16.02822676,16.29381369,16.56103119,16.8033728,17.02083852,17.23590291,17.44856598,17.65882773,17.86668815,18.06416074,18.25124549,18.42794241,18.59658622,18.7571769,18.90971447,19.05419892,19.1947239,19.33128939,19.46389542,19.59354981,19.72025258,19.84400372,19.96480323,20.08208912,20.19586137,20.30612,20.41420433,20.52011437,20.62385011,20.72541156,20.82479872,20.92201158,21.01705015,21.11208872,21.20712729,21.30216586,21.39720443,21.492243,21.58728157,21.68232014,21.77165747,21.85529356,21.93322842,22.00546203,22.07199441,22.13282555,22.18795544,22.24259214,22.29673563,22.35038592,22.40354301,22.45620689,22.50837758,22.56005505,22.61119889,22.66180909,22.71188566,22.76142858,22.81043787,22.85891351,22.90685552,22.95426389,23.00113863,23.04747972,23.09244135,23.1360235,23.17822618,23.21904938,23.25849312,23.29655738,23.33324218,23.36911382,23.40417231,23.43841764,23.47184983,23.50446887,23.53627475,23.56726748,23.59821619,23.62912088,23.65998154,23.69079818,23.7215708,23.7522994,23.78298398,23.81329124,23.8432212,23.87277386,23.9019492,23.93074724,23.95916798,23.9872114,24.01559291,24.04431249,24.07337015,24.10276589,24.13249971,24.16257161,24.19298158,24.2230797,24.25286594,24.28234032,24.31150284,24.3403535,24.36889229,24.39711921,24.42503427,24.45263747,24.48027725,24.50784387,24.5353739,24.56286736,24.59032424,24.61774454,24.64512826,24.6724754,24.69978595,24.72705993,24.75429733,24.78146157,24.80925348,24.83579005,24.86169897,24.88698023,24.91163383,24.93565976,24.95843037,24.98100701,25.00338968,25.02557837,25.04757308,25.06937382,25.09098059,25.11239338,25.1336122,25.15473445,25.17576015,25.19668928,25.21752185,25.23825787,25.25889731,25.2794402,25.29988653,25.32051745,25.34133297,25.36233308,25.38351778,25.40488708,25.42644098,25.44817947,25.46981075,25.49133482,25.51275168,25.53406133,25.55526378,25.57635901,25.59734703,25.61822784,25.63900144,25.65966783,25.68022702,25.70067899,25.72102375,25.74127724,25.76143946,25.78151041,25.80149009,25.8213785,25.84117564,25.8608815,25.8804961,25.90001942,25.91945147,25.93879226,25.95804177,25.97720001,25.99626697,26.01524267,26.0341271,26.05292025,26.07162214,26.09023275,26.10875209
20,Ambient,WHEA,R1,G-00,T90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
