"","file.names","X","submitted.by","library","well","utia","id","sample.id","plate","row","column","Sample.number","richness","shannon.div","simpson.div","invsimpson.div","evenness"
"1","Wooliver_16S_1A1_Beever240927_S1",1,"Wooliver","16S","1A1","Beever240927",NA,"S1",1,"A",1,"3",19991,8.00449090645476,0.996197353338559,262.974735502014,0.808286441998638
"2","Wooliver_16S_1A10_Beever240927_S73",2,"Wooliver","16S","1A10","Beever240927",NA,"S73",1,"A",10,"132",8469,6.81566111911814,0.992423205251081,131.981930768642,0.753597382583482
"3","Wooliver_16S_1A11_Beever240927_S81",3,"Wooliver","16S","1A11","Beever240927",NA,"S81",1,"A",11,"1",19089,7.96487763641615,0.996070951580087,254.51455241221,0.808053634751457
"4","Wooliver_16S_1A12_Beever240927_S89",4,"Wooliver","16S","1A12","Beever240927",NA,"S89",1,"A",12,"33",12701,7.65687998115981,0.995442597179621,219.423219630343,0.81030020981765
"5","Wooliver_16S_1A2_Beever240927_S9",5,"Wooliver","16S","1A2","Beever240927",NA,"S9",1,"A",2,"35",18090,7.79246700504854,0.99498393502535,199.359459068745,0.79489706488046
"6","Wooliver_16S_1A3_Beever240927_S17",6,"Wooliver","16S","1A3","Beever240927",NA,"S17",1,"A",3,"67",32258,9.74470806804956,0.99987111710565,7758.98155484575,0.938658963003117
"7","Wooliver_16S_1A4_Beever240927_S25",7,"Wooliver","16S","1A4","Beever240927",NA,"S25",1,"A",4,"99",22046,8.08945039562354,0.996306210553072,270.724689202777,0.808873336296034
"8","Wooliver_16S_1A5_Beever240927_S33",8,"Wooliver","16S","1A5","Beever240927",NA,"S33",1,"A",5,"131",18059,7.64014008649925,0.994843326751218,193.923475806072,0.779494818265842
"9","Wooliver_16S_1A6_Beever240927_S41",9,"Wooliver","16S","1A6","Beever240927",NA,"S41",1,"A",6,"4",12224,7.34674645905012,0.99435009905584,176.994253506984,0.780642256894344
"10","Wooliver_16S_1A7_Beever240927_S49",10,"Wooliver","16S","1A7","Beever240927",NA,"S49",1,"A",7,"36",14287,7.13730561907468,0.992983818766998,142.527675211173,0.746025614479541
"11","Wooliver_16S_1A8_Beever240927_S57",11,"Wooliver","16S","1A8","Beever240927",NA,"S57",1,"A",8,"68",23807,9.44254939184152,0.999830219639897,5889.96276951807,0.936971398198411
