"","Var1","Freq","percentage"
"1","Abditibacteriota",114,0.01
"2","Acetothermia",6,0
"3","Acidobacteria",74048,9.19
"4","Actinobacteria",141641,17.59
"5","Aminicenantes",5,0
"6","Aquificae",3,0
"7","Armatimonadetes",8710,1.08
"8","Bacteroidetes",31317,3.89
"9","Balneolaeota",1,0
"10","BRC1",550,0.07
"11","Campilobacterota",5,0
"12","candidate_division_WPS-1",4300,0.53
"13","candidate_division_WPS-2",331,0.04
"14","candidate_division_ZB3",7,0
"15","Candidatus_Saccharibacteria",3522,0.44
"16","Chlamydiae",11289,1.4
"17","Chloroflexi",42047,5.22
"18","Cloacimonetes",4,0
"19","Crenarchaeota",70,0.01
"20","Cyanobacteria/Chloroplast",3868,0.48
"21","Deferribacteres",24,0
"22","Deinococcus-Thermus",32,0
"23","Elusimicrobia",576,0.07
"24","Euryarchaeota",16,0
"25","Fibrobacteres",4,0
"26","Firmicutes",81269,10.09
"27","Fusobacteria",2,0
"28","Gemmatimonadetes",21175,2.63
"29","Hydrogenedentes",76,0.01
"30","Ignavibacteriae",226,0.03
"31","Kiritimatiellaeota",3,0
"32","Latescibacteria",1758,0.22
"33","Marinimicrobia",1,0
"34","Microgenomates",198,0.02
"35","Nitrospinae",8,0
"36","Nitrospirae",2248,0.28
"37","Omnitrophica",3,0
"38","Parcubacteria",112,0.01
"39","Planctomycetes",45177,5.61
"40","Proteobacteria",251611,31.24
"41","Rhodothermaeota",14,0
"42","Spirochaetes",724,0.09
"43","SR1",2,0
"44","Synergistetes",2,0
"45","Tenericutes",50,0.01
"46","Thaumarchaeota",185,0.02
"47","Thermodesulfobacteria",13,0
"48","Thermotogae",1,0
"49","Verrucomicrobia",20935,2.6
"50","Woesearchaeota",1,0
