"","Var1","Freq","percentage"
"1","Abditibacteriales",114,0.01
"2","Acanthopleuribacterales",26,0
"3","Acidaminococcales",5,0
"4","Acidicapsa",65,0.01
"5","Acidiferrobacterales",267,0.03
"6","Acidimicrobiales",23326,2.9
"7","Acidipila",187,0.02
"8","Acidobacterium",290,0.04
"9","Acidothermales",161,0.02
"10","Actinomycetales",71,0.01
"11","Actinopolysporales",1,0
"12","Aeromonadales",51,0.01
"13","Aggregatilineales",1041,0.13
"14","Aggregatilineales_incertae_sedis",8,0
"15","Alteromonadales",74,0.01
"16","Anaerolineales",4192,0.52
"17","Anaeroplasmatales",5,0
"18","Aquificales",1,0
"19","Ardenticatenales",37,0
"20","Arenicellales",53,0.01
"21","Armatimonadales",615,0.08
"22","Bacillales",51670,6.41
"23","Bacteriovoracales",729,0.09
"24","Bacteroidales",500,0.06
"25","Balneolales",1,0
"26","Bdellovibrionales",2117,0.26
"27","Betaproteobacteria_incertae_sedis",242,0.03
"28","Blastocatellales",3080,0.38
"29","Bradymonadales",7,0
"30","Bryobacter",284,0.04
"31","Bryocella",17,0
"32","Burkholderiales",13669,1.7
"33","Caldilineales",1883,0.23
"34","Campylobacterales",4,0
"35","Candidatus_Brocadiales",404,0.05
"36","Candidatus_Koribacter",1239,0.15
"37","Candidatus_Solibacter",6062,0.75
"38","Catenulisporales",338,0.04
"39","Caulobacterales",4297,0.53
"40","Cellvibrionales",780,0.1
"41","Chitinispirillales",3,0
"42","Chitinivorax",11,0
"43","Chitinophagales",14133,1.75
"44","Chlamydiales",11289,1.4
"45","Chloroflexales",4993,0.62
"46","Chloroplast",2118,0.26
"47","Chromatiales",1648,0.2
"48","Chthonomonadales",1770,0.22
"49","Clostridiales",24073,2.99
"50","Coriobacteriales",15,0
"51","Cryptosporangiales",138,0.02
"52","Cytophagales",8268,1.03
"53","Deferribacterales",24,0
"54","Deinococcales",15,0
"55","Deltaproteobacteria_incertae_sedis",1045,0.13
"56","Desulfarculales",84,0.01
"57","Desulfobacterales",1385,0.17
"58","Desulfovibrionales",206,0.03
"59","Desulfurobacteriales",1,0
"60","Desulfurococcales",66,0.01
"61","Desulfuromonadales",2382,0.3
"62","Edaphobacter",143,0.02
"63","Eggerthellales",34,0
"64","Egibacterales",113,0.01
"65","Egicoccales",42,0.01
"66","Elusimicrobiales",255,0.03
"67","Emcibacterales",5,0
"68","Endomicrobiales",180,0.02
"69","Enterobacterales",334,0.04
"70","Entomoplasmatales",3,0
"71","Erysipelotrichales",336,0.04
"72","Euzebyales",45,0.01
"73","Family_I",922,0.11
"74","Family_II",3,0
"75","Family_IV",27,0
"76","Family_V",30,0
"77","Family_VI",1,0
"78","Family_VII",14,0
"79","Family_VIII",6,0
"80","Family_XI",2,0
"81","Family_XII",5,0
"82","Family_XIII",20,0
"83","Ferritrophicales",70,0.01
"84","Ferrovales",74,0.01
"85","Fimbriimonadales",50,0.01
"86","Flavobacteriales",3409,0.42
"87","Frankiales",1879,0.23
"88","Fusobacteriales",2,0
"89","Gaiellales",26030,3.23
"90","Gammaproteobacteria_incertae_sedis",3806,0.47
"91","Gemmatimonadales",18952,2.35
"92","Geodermatophilales",1633,0.2
"93","Gloeomargaritaceae",1,0
"94","Glycomycetales",98,0.01
"95","Gp1",3052,0.38
"96","Gp10",4166,0.52
"97","Gp11",338,0.04
"98","Gp12",44,0.01
"99","Gp13",254,0.03
"100","Gp14",10,0
"101","Gp15",155,0.02
"102","Gp16",2581,0.32
"103","Gp17",1106,0.14
"104","Gp18",138,0.02
"105","Gp19",7,0
"106","Gp2",1260,0.16
"107","Gp20",8,0
"108","Gp21",180,0.02
"109","Gp22",1729,0.21
"110","Gp25",1393,0.17
"111","Gp26",1,0
"112","Gp3",4856,0.6
"113","Gp4",5484,0.68
"114","Gp5",3135,0.39
"115","Gp6",13800,1.71
"116","Gp7",3903,0.48
"117","Gp9",14,0
"118","Granulicella",13,0
"119","Halanaerobiales",16,0
"120","Halobacteriales",1,0
"121","Haloplasmatales",41,0.01
"122","Herpetosiphonales",132,0.02
"123","Holophagales",191,0.02
"124","Hydrogenophilales",9,0
"125","Hydrogenophilalia_incertae_sedis",41,0.01
"126","Ignavibacteriales",226,0.03
"127","Immundisolibacterales",18,0
"128","Iodidimonadales",2,0
"129","Jiangellales",8,0
"130","Kallotenuales",776,0.1
"131","Kiloniellales",53,0.01
"132","Kineosporiales",1546,0.19
"133","Kiritimatiellales",3,0
"134","Kordiimonadales",3,0
"135","Ktedonobacterales",3120,0.39
"136","Lactobacillales",12,0
"137","Legionellales",13966,1.73
"138","Limisphaera",20,0
"139","Limnochordales",21,0
"140","Longimicrobiales",1748,0.22
"141","Mariprofundales",1,0
"142","Mesoaciditogales",1,0
"143","Methanomassiliicoccales",5,0
"144","Methanopyrales",1,0
"145","Methylococcales",107,0.01
"146","Micrococcales",7139,0.89
"147","Micromonosporales",11552,1.43
"148","Micropepsales",2186,0.27
"149","Mycobacteriales",3668,0.46
"150","Myxococcales",54260,6.74
"151","Nakamurellales",937,0.12
"152","Natranaerobiales",1,0
"153","Neisseriales",712,0.09
"154","Nevskiales",3487,0.43
"155","Nitriliruptorales",68,0.01
"156","Nitrosomonadales",4280,0.53
"157","Nitrosopumilaceae",3,0
"158","Nitrososphaeraceae",182,0.02
"159","Nitrospinales",8,0
"160","Nitrospirales",2248,0.28
"161","Occallatibacter",1262,0.16
"162","Oceanospirillales",203,0.03
"163","Oligoflexales",1398,0.17
"164","Opitutales",1783,0.22
"165","Paludibaculum",197,0.02
"166","Parvularculales",32,0
"167","Pasteurellales",3,0
"168","Phycisphaerales",913,0.11
"169","Pirellulales",6698,0.83
"170","Planctomycetales",32575,4.04
"171","Procabacteriales",38,0
"172","Propionibacteriales",10143,1.26
"173","Pseudomonadales",973,0.12
"174","Pseudonocardiales",5918,0.73
"175","Puniceicoccales",171,0.02
"176","Rhizobiales",32624,4.05
"177","Rhodobacterales",2070,0.26
"178","Rhodocyclales",1505,0.19
"179","Rhodospirillales",27759,3.45
"180","Rhodothermales",14,0
"181","Rickettsiales",301,0.04
"182","Rubrobacterales",167,0.02
"183","Saccharicenans",5,0
"184","Saprospirales",523,0.06
"185","SAR11",1,0
"186","Sedimentisphaerales",170,0.02
"187","Selenomonadales",1803,0.22
"188","Silvanigrellales",168,0.02
"189","Silvibacterium",5,0
"190","Sneathiellales",538,0.07
"191","Solirubrobacterales",16865,2.09
"192","Sphaerobacterales",7150,0.89
"193","Sphingobacteriales",1553,0.19
"194","Sphingomonadales",5537,0.69
"195","Spirochaetales",724,0.09
"196","Sporichthyales",849,0.11
"197","Streptomycetales",6904,0.86
"198","Streptosporangiales",5956,0.74
"199","Synergistales",2,0
"200","Syntrophobacterales",1410,0.18
"201","Syntrophorhabdaceae",2,0
"202","Telmatobacter",10,0
"203","Tepidisphaerales",113,0.01
"204","Terracidiphilus",16,0
"205","Terriglobus",41,0.01
"206","Terrimicrobiales",914,0.11
"207","Thermales",10,0
"208","Thermoanaerobacterales",36,0
"209","Thermoanaerobaculales",70,0.01
"210","Thermodesulfobacteriales",13,0
"211","Thermoflexales",632,0.08
"212","Thermogemmatisporales",48,0.01
"213","Thermoleophilales",316,0.04
"214","Thermomicrobiales",25,0
"215","Thermoplasmatales",1,0
"216","Thermosediminibacterales",18,0
"217","Thermotomaculales",2,0
"218","Thiotrichales",156,0.02
"219","Trueperales",1,0
"220","Verrucomicrobiales",1626,0.2
"221","Vibrionales",1,0
"222","Vicinamibacterales",6455,0.8
"223","Xanthomonadales",7234,0.9
"224","Xiphinematobacter",93,0.01
