"","Var1","Freq","percentage"
"1","Abditibacterium",114,0.01
"2","Abyssivirga",2,0
"3","Acanthopleuribacter",26,0
"4","Acetivibrio",864,0.11
"5","Acetobacteroides",1,0
"6","Acetonema",205,0.03
"7","Achromobacter",55,0.01
"8","Acidibrevibacterium",332,0.04
"9","Acidicaldus",52,0.01
"10","Acidiferrimicrobium",1272,0.16
"11","Acidiferrobacter",9,0
"12","Acidihalobacter",26,0
"13","Acidimangrovimonas",16,0
"14","Acidimicrobium",1,0
"15","Acidiphilium",47,0.01
"16","Acidisoma",286,0.04
"17","Acidisphaera",118,0.01
"18","Aciditerrimonas",2354,0.29
"19","Acidocella",3,0
"20","Acidothermus",161,0.02
"21","Acidovorax",58,0.01
"22","Acinetobacter",31,0
"23","Acrocarpospora",19,0
"24","Actinoallomurus",1227,0.15
"25","Actinoalloteichus",20,0
"26","Actinocatenispora",5,0
"27","Actinocorallia",198,0.02
"28","Actinocrinis",37,0
"29","Actinocrispum",5,0
"30","Actinokineospora",94,0.01
"31","Actinomadura",428,0.05
"32","Actinomarinicola",4152,0.52
"33","Actinomycetospora",520,0.06
"34","Actinophytocola",120,0.01
"35","Actinoplanes",1643,0.2
"36","Actinopolymorpha",83,0.01
"37","Actinorhabdospora",12,0
"38","Actinospica",174,0.02
"39","Actinosynnema",8,0
"40","Actinotalea",20,0
"41","Acutalibacter",2,0
"42","Acuticoccus",2,0
"43","Adhaeribacter",541,0.07
"44","Advenella",1,0
"45","Aeribacillus",1,0
"46","Aeromicrobium",460,0.06
"47","Aeromonas",50,0.01
"48","Aestuariispira",2,0
"49","Aetherobacter",1026,0.13
"50","Afifella",22,0
"51","Afipia",516,0.06
"52","Agaribacter",1,0
"53","Agaricicola",20,0
"54","Aggregatilinea",1041,0.13
"55","Aggregicoccus",609,0.08
"56","Agitococcus",2,0
"57","Agreia",3,0
"58","Agrobacterium",40,0
"59","Agrococcus",5,0
"60","Agromyces",472,0.06
"61","Aidingibacillus",1,0
"62","Aidingimonas",1,0
"63","Albibacterium",84,0.01
"64","Albidiferax",7,0
"65","Albimonas",4,0
"66","Aldersonia",73,0.01
"67","Algicoccus",2,0
"68","Algicola",2,0
"69","Algiphilus",6,0
"70","Algisphaera",290,0.04
"71","Algivirga",1,0
"72","Algoriella",2,0
"73","Algoriphagus",2,0
"74","Alicyclobacillus",39,0
"75","Aliidongia",532,0.07
"76","Alistipes",5,0
"77","Alkalibacter",2,0
"78","Alkalihalobacillus",311,0.04
"79","Alkalilactibacillus",2,0
"80","Alkalilimnicola",3,0
"81","Alkaliphilus",18,0
"82","Alkalispirillum",1,0
"83","Alkanibacter",20,0
"84","Alkanindiges",5,0
"85","Allocatelliglobosispora",21,0
"86","Allokutzneria",75,0.01
"87","Allonocardiopsis",10,0
"88","Allorhizobium",52,0.01
"89","Allosphingosinicella",42,0.01
"90","Allostreptomyces",150,0.02
"91","Alsobacter",341,0.04
"92","Altererythrobacter",654,0.08
"93","Alterococcus",44,0.01
"94","Amaricoccus",1084,0.13
"95","Ameyamaea",1,0
"96","Aminipila",84,0.01
"97","Aminobacter",119,0.01
"98","Ammoniibacillus",8,0
"99","Ammoniphilus",437,0.05
"100","Amnibacterium",85,0.01
"101","Amorphus",3,0
"102","Amphibacillus",7,0
"103","Amphiplicatus",24,0
"104","Ampullimonas",9,0
"105","Amycolatopsis",387,0.05
"106","Anaeroarcus",3,0
"107","Anaerobacillus",6,0
"108","Anaerobacter",38,0
"109","Anaerobacterium",251,0.03
"110","Anaerocolumna",503,0.06
"111","Anaerohalosphaera",93,0.01
"112","Anaerolinea",12,0
"113","Anaeromassilibacillus",2,0
"114","Anaeromyxobacter",1965,0.24
"115","Anaerophaga",2,0
"116","Anaeroplasma",5,0
"117","Anaerorhabdus",1,0
"118","Anaerosinus",6,0
"119","Anaerospora",101,0.01
"120","Anaerosporobacter",5,0
"121","Anaerosporomusa",118,0.01
"122","Anaerostipes",1,0
"123","Anaerotaenia",44,0.01
"124","Anaerotignum",26,0
"125","Anaerotruncus",52,0.01
"126","Anaerovorax",140,0.02
"127","Anaplasma",3,0
"128","Ancalomicrobium",8,0
"129","Ancylobacter",38,0
"130","Anderseniella",119,0.01
"131","Anditalea",1,0
"132","Aneurinibacillus",56,0.01
"133","Angulomicrobium",3,0
"134","Angustibacter",576,0.07
"135","Annwoodia",13,0
"136","Anoxybacillus",2,0
"137","Anoxynatronum",1,0
"138","Anseongella",51,0.01
"139","Antribacter",89,0.01
"140","Aquabacter",5,0
"141","Aquabacterium",247,0.03
"142","Aquamicrobium",32,0
"143","Aquaphilus",23,0
"144","Aquaspirillum",6,0
"145","Aquibacillus",150,0.02
"146","Aquicella",8186,1.02
"147","Aquidulcibacter",291,0.04
"148","Aquihabitans",2631,0.33
"149","Aquimonas",6,0
"150","Aquincola",56,0.01
"151","Aquipuribacter",6,0
"152","Aquisalinus",6,0
"153","Aquisediminimonas",6,0
"154","Aquisphaera",2415,0.3
"155","Arachnia",3,0
"156","Arboricoccus",1765,0.22
"157","Archangium",456,0.06
"158","Arcticibacter",21,0
"159","Ardenticatena",37,0
"160","Arenimicrobium",207,0.03
"161","Arenimonas",1212,0.15
"162","Aridibacter",346,0.04
"163","Armatimonas/Armatimonadetes_gp1",615,0.08
"164","Aromatoleum",162,0.02
"165","Arsenicicoccus",8,0
"166","Arsenicitalea",15,0
"167","Arsukibacterium",1,0
"168","Arthrobacter",315,0.04
"169","Arvibacter",48,0.01
"170","Asaia",1,0
"171","Asanoa",231,0.03
"172","Asprobacter",150,0.02
"173","Asticcacaulis",60,0.01
"174","Atlantibacter",1,0
"175","Aurantimonas",3,0
"176","Aureibacillus",1,0
"177","Aureimonas",31,0
"178","Aureispira",2,0
"179","Aureivirga",2,0
"180","Azoarcus",155,0.02
"181","Azohydromonas",197,0.02
"182","Azomonas",9,0
"183","Azonexus",180,0.02
"184","Azorhizophilus",4,0
"185","Azospira",72,0.01
"186","Azospirillum",195,0.02
"187","Azotobacter",14,0
"188","Bacilliculturomica",24,0
"189","Bacillus",2993,0.37
"190","Bacterioplanoides",6,0
"191","Bacteriovorax",154,0.02
"192","Baekduia",2454,0.3
"193","Baia",68,0.01
"194","Balnearium",1,0
"195","Bariatricus",4,0
"196","Bartonella",1,0
"197","Basilea",46,0.01
"198","Bauldia",903,0.11
"199","Bdellovibrio",751,0.09
"200","Beduinibacterium",141,0.02
"201","Beggiatoa",75,0.01
"202","Beijerinckia",53,0.01
"203","Bellilinea",240,0.03
"204","Belnapia",69,0.01
"205","Bermanella",1,0
"206","Bernardetia",1,0
"207","Beutenbergia",2,0
"208","Bhargavaea",20,0
"209","Bilophila",2,0
"210","Biomaibacter",2,0
"211","Blastocatella",52,0.01
"212","Blastochloris",151,0.02
"213","Blastococcus",645,0.08
"214","Blastomonas",37,0
"215","Blastopirellula",702,0.09
"216","Blautia",3,0
"217","Bogoriella",1,0
"218","Bordetella",8,0
"219","Bosea",418,0.05
"220","Bounagaea",1,0
"221","Brachymonas",2,0
"222","Bradymonas",7,0
"223","Bradyrhizobium",655,0.08
"224","Brevibacillus",838,0.1
"225","Brevibacterium",1,0
"226","Brevifollis",18,0
"227","Brevitalea",170,0.02
"228","Brevundimonas",93,0.01
"229","Breznakibacter",2,0
"230","Brucella",12,0
"231","Buchananella",48,0.01
"232","Burkholderia",168,0.02
"233","Buttiauxella",31,0
"234","Butyratibacter",114,0.01
"235","Butyricicoccus",2,0
"236","Byssovorax",960,0.12
"237","Bythopirellula",80,0.01
"238","Caballeronia",260,0.03
"239","Caecibacterium",1,0
"240","Caedibacter",2,0
"241","Caenibacillus",2,0
"242","Caenimonas",131,0.02
"243","Caldalkalibacillus",5,0
"244","Caldilinea",562,0.07
"245","Caldimonas",28,0
"246","Caldinitratiruptor",7,0
"247","Caldovatus",29,0
"248","Caloramator",10,0
"249","Caloribacterium",2,0
"250","Calorithrix",13,0
"251","Camelimonas",14,0
"252","Caminicella",1,0
"253","Candidatus_Anammoxoglobus",23,0
"254","Candidatus_Brocadia",73,0.01
"255","Candidatus_Kuenenia",4,0
"256","Candidatus_Procabacter",38,0
"257","Candidatus_Scalindua",8,0
"258","Candidimonas",4,0
"259","Caproicibacter",6,0
"260","Caproiciproducens",2,0
"261","Carnimonas",5,0
"262","Caryophanon",10,0
"263","Casimicrobium",242,0.03
"264","Catabacter",126,0.02
"265","Catellatospora",366,0.05
"266","Catelliglobosispora",26,0
"267","Catenulispora",113,0.01
"268","Catenuloplanes",41,0.01
"269","Caulobacter",894,0.11
"270","Cavicella",33,0
"271","Caviibacter",1,0
"272","Cellulomonas",169,0.02
"273","Cellulosibacter",11,0
"274","Cellulosilyticum",73,0.01
"275","Cellulosimicrobium",111,0.01
"276","Cellvibrio",71,0.01
"277","Cephaloticoccus",223,0.03
"278","Cerasicoccus",7,0
"279","Cereibacter",1,0
"280","Cesiribacter",3,0
"281","Chelativorans",37,0
"282","Chelatococcus",199,0.02
"283","Chenggangzhangella",3,0
"284","Chengkuizengella",8,0
"285","Chiayiivirga",18,0
"286","Chitinibacter",18,0
"287","Chitinimonas",2,0
"288","Chitiniphilus",4,0
"289","Chitinispirillum",3,0
"290","Chitinolyticbacter",1,0
"291","Chitinophaga",635,0.08
"292","Chlamydia",1,0
"293","Chloracidobacterium",6,0
"294","Chloroflexus",28,0
"295","Chondromyces",124,0.02
"296","Christensenella",35,0
"297","Chromatocurvus",98,0.01
"298","Chromobacterium",5,0
"299","Chryseobacterium",62,0.01
"300","Chryseolinea",2168,0.27
"301","Chryseomicrobium",4,0
"302","Chryseotalea",587,0.07
"303","Chthonobacter",7,0
"304","Chthonomonas/Armatimonadetes_gp3",1770,0.22
"305","Chujaibacter",216,0.03
"306","Chungangia",228,0.03
"307","Ciceribacter",11,0
"308","Citrobacter",3,0
"309","Clavibacter",6,0
"310","Clostridioides",22,0
"311","Clostridium_IV",80,0.01
"312","Clostridium_sensu_stricto",4058,0.5
