"","file.names","X","submitted.by","library","well","utia","id","sample.id","plate","row","column","Sample.number","richness","shannon.div","simpson.div","invsimpson.div","evenness"
"165","Wooliver_ITS_1A1_Beever240927_S165",165,"Wooliver","ITS","1A1","Beever240927",NA,"S165",1,"A",1,"3",194,4.16837566871658,0.971770962638897,35.4245165078814,0.791284720061209
"166","Wooliver_ITS_1A10_Beever240927_S237",166,"Wooliver","ITS","1A10","Beever240927",NA,"S237",1,"A",10,"132",345,3.50901440295328,0.927329301782364,13.7607044452108,0.600494178280916
"167","Wooliver_ITS_1A11_Beever240927_S245",167,"Wooliver","ITS","1A11","Beever240927",NA,"S245",1,"A",11,"1",542,4.34005677900088,0.968023564533021,31.2730291977877,0.68941594811218
"168","Wooliver_ITS_1A12_Beever240927_S253",168,"Wooliver","ITS","1A12","Beever240927",NA,"S253",1,"A",12,"33",631,4.22251427453829,0.958607931319466,24.1592177409165,0.654926936082102
"169","Wooliver_ITS_1A2_Beever240927_S173",169,"Wooliver","ITS","1A2","Beever240927",NA,"S173",1,"A",2,"35",691,4.18876242514997,0.953229568205519,21.3810298864506,0.640665776207911
"170","Wooliver_ITS_1A3_Beever240927_S181",170,"Wooliver","ITS","1A3","Beever240927",NA,"S181",1,"A",3,"67",1157,6.28703874504347,0.996714455191192,304.363525135693,0.891325205108809
"171","Wooliver_ITS_1A4_Beever240927_S189",171,"Wooliver","ITS","1A4","Beever240927",NA,"S189",1,"A",4,"99",880,4.84517779044195,0.977247021763223,43.9502903573132,0.714636223921991
"172","Wooliver_ITS_1A5_Beever240927_S197",172,"Wooliver","ITS","1A5","Beever240927",NA,"S197",1,"A",5,"131",465,3.69643605862734,0.936864922681533,15.8390556006732,0.601825715887813
"173","Wooliver_ITS_1A6_Beever240927_S205",173,"Wooliver","ITS","1A6","Beever240927",NA,"S205",1,"A",6,"4",473,3.90352986823859,0.953029133690488,21.28979255802,0.633782986302211
"174","Wooliver_ITS_1A7_Beever240927_S213",174,"Wooliver","ITS","1A7","Beever240927",NA,"S213",1,"A",7,"36",555,3.81064031251818,0.939100089555749,16.4203853947442,0.603047878059144
"175","Wooliver_ITS_1A8_Beever240927_S221",175,"Wooliver","ITS","1A8","Beever240927",NA,"S221",1,"A",8,"68",813,5.90170971672072,0.995390927483205,216.963390434002,0.880756087691898
"176","Wooliver_ITS_1A9_Beever240927_S229",176,"Wooliver","ITS","1A9","Beever240927",NA,"S229",1,"A",9,"100",748,4.77263772892509,0.978447955160022,46.399309551595,0.721225191334192
"177","Wooliver_ITS_1B1_Beever240927_S166",177,"Wooliver","ITS","1B1","Beever240927",NA,"S166",1,"B",1,"7",935,5.83600176108021,0.993025134984836,143.371950256525,0.853148463517149
"178","Wooliver_ITS_1B10_Beever240927_S238",178,"Wooliver","ITS","1B10","Beever240927",NA,"S238",1,"B",10,"136",438,3.74786953948013,0.937176812455959,15.9176896157804,0.616201027076837
"179","Wooliver_ITS_1B11_Beever240927_S246",179,"Wooliver","ITS","1B11","Beever240927",NA,"S246",1,"B",11,"5",796,5.97762208672557,0.996159786430589,260.402183869521,0.894907302131771
"180","Wooliver_ITS_1B12_Beever240927_S254",180,"Wooliver","ITS","1B12","Beever240927",NA,"S254",1,"B",12,"37",931,5.03702671163558,0.982593680832407,57.450400074348,0.736810367678428
"181","Wooliver_ITS_1B2_Beever240927_S174",181,"Wooliver","ITS","1B2","Beever240927",NA,"S174",1,"B",2,"39",901,5.00699109244267,0.981950448372984,55.4030382950461,0.735942856345025
"182","Wooliver_ITS_1B3_Beever240927_S182",182,"Wooliver","ITS","1B3","Beever240927",NA,"S182",1,"B",3,"71",548,4.02595294691261,0.954242321394649,21.854255514681,0.63840425032587
"183","Wooliver_ITS_1B4_Beever240927_S190",183,"Wooliver","ITS","1B4","Beever240927",NA,"S190",1,"B",4,"103",703,4.35960163929756,0.965600737207021,29.0703904330211,0.665044132798297
"184","Wooliver_ITS_1B5_Beever240927_S198",184,"Wooliver","ITS","1B5","Beever240927",NA,"S198",1,"B",5,"135",684,4.15679596464659,0.953830131363657,21.659147611541,0.636768192611216
"185","Wooliver_ITS_1B6_Beever240927_S206",185,"Wooliver","ITS","1B6","Beever240927",NA,"S206",1,"B",6,"8",665,5.74809111961204,0.994734271887169,189.907260415396,0.884350684669822
"186","Wooliver_ITS_1B7_Beever240927_S214",186,"Wooliver","ITS","1B7","Beever240927",NA,"S214",1,"B",7,"40",826,4.9852786613116,0.981795416544368,54.9312211640109,0.742233055500863
"187","Wooliver_ITS_1B8_Beever240927_S222",187,"Wooliver","ITS","1B8","Beever240927",NA,"S222",1,"B",8,"72",398,3.55933692339656,0.930646761131683,14.4189372597108,0.594565348599575
"188","Wooliver_ITS_1B9_Beever240927_S230",188,"Wooliver","ITS","1B9","Beever240927",NA,"S230",1,"B",9,"104",434,3.84093100136283,0.948094895678348,19.2659279481086,0.632455596166937
"189","Wooliver_ITS_1C1_Beever240927_S167",189,"Wooliver","ITS","1C1","Beever240927",NA,"S167",1,"C",1,"11",449,4.00886406413744,0.953177095782257,21.3570690820383,0.656435081025135
"190","Wooliver_ITS_1C10_Beever240927_S239",190,"Wooliver","ITS","1C10","Beever240927",NA,"S239",1,"C",10,"140",707,4.50174060895811,0.967664318437432,30.9255890606496,0.686133145567753
"191","Wooliver_ITS_1C11_Beever240927_S247",191,"Wooliver","ITS","1C11","Beever240927",NA,"S247",1,"C",11,"9",465,3.71348723586697,0.93621721758633,15.6782122409524,0.604601859390965
"192","Wooliver_ITS_1C12_Beever240927_S255",192,"Wooliver","ITS","1C12","Beever240927",NA,"S255",1,"C",12,"41",461,4.18078307035154,0.964983110598283,28.5576479546176,0.681642221985792
"193","Wooliver_ITS_1C2_Beever240927_S175",193,"Wooliver","ITS","1C2","Beever240927",NA,"S175",1,"C",2,"43",566,4.18213530429309,0.960725447622082,25.46177968822,0.659789103497634
