"","Wooliver_ITS_1A1_Beever240927_S165","Wooliver_ITS_1A11_Beever240927_S245","Wooliver_ITS_1A12_Beever240927_S253","Wooliver_ITS_1A2_Beever240927_S173","Wooliver_ITS_1A3_Beever240927_S181","Wooliver_ITS_1A4_Beever240927_S189","Wooliver_ITS_1A5_Beever240927_S197","Wooliver_ITS_1B1_Beever240927_S166","Wooliver_ITS_1B11_Beever240927_S246","Wooliver_ITS_1B12_Beever240927_S254","Wooliver_ITS_1B2_Beever240927_S174","Wooliver_ITS_1B3_Beever240927_S182","Wooliver_ITS_1B4_Beever240927_S190","Wooliver_ITS_1B5_Beever240927_S198","Wooliver_ITS_1C1_Beever240927_S167","Wooliver_ITS_1C11_Beever240927_S247","Wooliver_ITS_1C12_Beever240927_S255","Wooliver_ITS_1C2_Beever240927_S175","Wooliver_ITS_1C3_Beever240927_S183","Wooliver_ITS_1C4_Beever240927_S191","Wooliver_ITS_1C5_Beever240927_S199","Wooliver_ITS_1D1_Beever240927_S168","Wooliver_ITS_1D11_Beever240927_S248","Wooliver_ITS_1D12_Beever240927_S256","Wooliver_ITS_1D2_Beever240927_S176","Wooliver_ITS_1D3_Beever240927_S184","Wooliver_ITS_1D4_Beever240927_S192","Wooliver_ITS_1D5_Beever240927_S200","Wooliver_ITS_1E1_Beever240927_S169","Wooliver_ITS_1E11_Beever240927_S249","Wooliver_ITS_1E12_Beever240927_S257","Wooliver_ITS_1E2_Beever240927_S177","Wooliver_ITS_1E3_Beever240927_S185","Wooliver_ITS_1E4_Beever240927_S193","Wooliver_ITS_1E5_Beever240927_S201","Wooliver_ITS_1F1_Beever240927_S170","Wooliver_ITS_1F11_Beever240927_S250","Wooliver_ITS_1F12_Beever240927_S258","Wooliver_ITS_1F2_Beever240927_S178","Wooliver_ITS_1F3_Beever240927_S186","Wooliver_ITS_1F4_Beever240927_S194","Wooliver_ITS_1F5_Beever240927_S202","Wooliver_ITS_1G1_Beever240927_S171","Wooliver_ITS_1G11_Beever240927_S251","Wooliver_ITS_1G12_Beever240927_S259","Wooliver_ITS_1G2_Beever240927_S179","Wooliver_ITS_1G3_Beever240927_S187","Wooliver_ITS_1G4_Beever240927_S195","Wooliver_ITS_1G5_Beever240927_S203","Wooliver_ITS_1H1_Beever240927_S172","Wooliver_ITS_1H11_Beever240927_S252","Wooliver_ITS_1H12_Beever240927_S260","Wooliver_ITS_1H2_Beever240927_S180","Wooliver_ITS_1H3_Beever240927_S188","Wooliver_ITS_1H4_Beever240927_S196","Wooliver_ITS_1H5_Beever240927_S204","Wooliver_ITS_2A1_Beever240927_S261","Wooliver_ITS_2A2_Beever240927_S269","Wooliver_ITS_2A3_Beever240927_S277","Wooliver_ITS_2B1_Beever240927_S262","Wooliver_ITS_2B2_Beever240927_S270","Wooliver_ITS_2B3_Beever240927_S278","Wooliver_ITS_2C1_Beever240927_S263","Wooliver_ITS_2C2_Beever240927_S271","Wooliver_ITS_2C3_Beever240927_S279","Wooliver_ITS_2D1_Beever240927_S264","Wooliver_ITS_2D2_Beever240927_S272","Wooliver_ITS_2D3_Beever240927_S280","Wooliver_ITS_2E1_Beever240927_S265","Wooliver_ITS_2E2_Beever240927_S273","Wooliver_ITS_2E3_Beever240927_S281","Wooliver_ITS_2F1_Beever240927_S266","Wooliver_ITS_2F2_Beever240927_S274","Wooliver_ITS_2F3_Beever240927_S282","Wooliver_ITS_2G1_Beever240927_S267","Wooliver_ITS_2G2_Beever240927_S275","Wooliver_ITS_2G3_Beever240927_S283","Wooliver_ITS_2H2_Beever240927_S276","Wooliver_ITS_2H3_Beever240927_S284"
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Macrophomina|s__phaseolina|t__plant_pathogen",0,27,0,0,253,0,31,187,134,54,0,0,0,0,23,0,0,20,30,187,58,0,0,328,352,64,0,0,30,79,16,23,23,0,334,24,0,0,29,232,72,0,153,214,52,62,41,0,0,27,0,0,0,20,446,39,187,52,0,0,18,0,24,224,122,104,0,0,0,29,373,312,145,0,26,0,0,271,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Minutisphaerales|f__Minutisphaeraceae|g__Minutisphaera|s__aspera|t__wood_saprotroph",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121,0,0,0,40,6,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,5,2,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Epicoccum|s__thailandicum|t__plant_pathogen",0,78,400,80,0,210,55,6,0,266,132,108,174,17,20,115,16,8,134,0,95,55,90,63,8,203,59,83,241,74,9,818,47,40,0,77,19,21,35,4,120,21,5,7,34,7765,79,34,139,37,76,195,336,169,0,161,16,64,90,35,38,0,54,7,113,132,30,112,29,102,27,0,617,157,200,94,93,4,22
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Stagonosporopsis|s__astragali|t__plant_pathogen",35,337,269,354,231,410,153,48,110,684,598,222,472,152,141,150,195,456,619,158,238,182,135,149,142,631,295,178,373,570,128,161,364,269,133,282,340,125,172,90,457,193,128,118,331,253,208,240,223,271,181,523,709,244,58,622,196,219,209,204,456,194,337,194,239,609,370,312,398,359,198,271,894,229,236,416,264,96,176
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Stagonosporopsis|s__lupini|t__plant_pathogen",58,360,159,258,84,182,94,59,22,288,239,122,895,124,211,81,259,834,327,0,103,115,141,0,109,235,155,322,203,298,134,118,587,142,78,321,502,87,207,78,249,108,70,63,193,79,160,279,186,175,558,952,657,119,63,461,113,279,170,158,868,109,194,166,157,193,3249,474,584,199,197,66,355,156,175,414,1295,58,138
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Sporormiaceae|g__Sporormurispora|s__atraphaxis|t__wood_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Exophiala|s__pisciphila|t__animal_parasite",3,52,30,109,307,151,19,1910,430,239,643,47,63,87,53,42,24,46,166,337,106,83,89,378,595,136,64,33,152,241,23,37,56,66,231,33,44,65,99,306,172,38,299,272,90,107,58,41,65,28,46,36,60,46,286,159,220,147,76,42,65,55,105,350,151,164,98,45,59,62,565,354,148,46,16,120,152,334,86
"k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__burgense|t__unspecified_saprotroph",9,71,114,114,421,195,81,307,343,202,134,59,108,154,90,87,55,118,117,464,173,96,188,644,898,174,133,28,181,186,9,77,119,98,269,76,112,108,146,392,199,37,517,463,159,193,69,63,73,117,62,31,70,112,454,160,400,185,77,35,95,172,162,534,211,168,85,62,86,53,607,633,109,62,60,125,81,563,118
"k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Talaromyces|s__purpureogenus|t__unspecified_saprotroph",1,58,29,49,439,84,19,287,209,128,112,36,49,53,23,35,28,31,110,536,105,32,57,481,651,73,25,36,42,156,19,25,59,72,309,38,36,121,36,328,59,8,398,435,66,45,26,47,59,33,11,19,40,25,301,47,300,42,18,29,38,27,69,428,76,91,60,36,55,37,392,344,55,18,16,65,39,298,25
"k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliales_fam_Incertae_sedis|g__Vermispora|t__animal_parasite",150,334,405,372,7,2123,184,0,0,2221,2191,324,574,422,254,220,231,396,421,22,1348,328,313,4,10,2446,402,312,2143,1882,165,213,430,290,0,631,434,297,383,2,1843,220,0,0,1311,1650,281,391,540,383,281,293,387,140,0,1437,9,1220,279,236,591,132,453,18,1711,2283,382,350,333,408,0,0,1942,184,219,615,423,31,880
