"","Wooliver_ITS_1A10_Beever240927_S237","Wooliver_ITS_1A6_Beever240927_S205","Wooliver_ITS_1A7_Beever240927_S213","Wooliver_ITS_1A8_Beever240927_S221","Wooliver_ITS_1A9_Beever240927_S229","Wooliver_ITS_1B10_Beever240927_S238","Wooliver_ITS_1B6_Beever240927_S206","Wooliver_ITS_1B7_Beever240927_S214","Wooliver_ITS_1B8_Beever240927_S222","Wooliver_ITS_1B9_Beever240927_S230","Wooliver_ITS_1C10_Beever240927_S239","Wooliver_ITS_1C6_Beever240927_S207","Wooliver_ITS_1C7_Beever240927_S215","Wooliver_ITS_1C8_Beever240927_S223","Wooliver_ITS_1C9_Beever240927_S231","Wooliver_ITS_1D10_Beever240927_S240","Wooliver_ITS_1D6_Beever240927_S208","Wooliver_ITS_1D7_Beever240927_S216","Wooliver_ITS_1D8_Beever240927_S224","Wooliver_ITS_1D9_Beever240927_S232","Wooliver_ITS_1E10_Beever240927_S241","Wooliver_ITS_1E6_Beever240927_S209","Wooliver_ITS_1E7_Beever240927_S217","Wooliver_ITS_1E8_Beever240927_S225","Wooliver_ITS_1E9_Beever240927_S233","Wooliver_ITS_1F10_Beever240927_S242","Wooliver_ITS_1F6_Beever240927_S210","Wooliver_ITS_1F7_Beever240927_S218","Wooliver_ITS_1F8_Beever240927_S226","Wooliver_ITS_1F9_Beever240927_S234","Wooliver_ITS_1G10_Beever240927_S243","Wooliver_ITS_1G6_Beever240927_S211","Wooliver_ITS_1G7_Beever240927_S219","Wooliver_ITS_1G8_Beever240927_S227","Wooliver_ITS_1G9_Beever240927_S235","Wooliver_ITS_1H10_Beever240927_S244","Wooliver_ITS_1H6_Beever240927_S212","Wooliver_ITS_1H7_Beever240927_S220","Wooliver_ITS_1H8_Beever240927_S228","Wooliver_ITS_1H9_Beever240927_S236","Wooliver_ITS_2A4_Beever240927_S285","Wooliver_ITS_2A5_Beever240927_S293","Wooliver_ITS_2A6_Beever240927_S301","Wooliver_ITS_2A7_Beever240927_S309","Wooliver_ITS_2A8_Beever240927_S317","Wooliver_ITS_2B4_Beever240927_S286","Wooliver_ITS_2B5_Beever240927_S294","Wooliver_ITS_2B6_Beever240927_S302","Wooliver_ITS_2B7_Beever240927_S310","Wooliver_ITS_2B8_Beever240927_S318","Wooliver_ITS_2C4_Beever240927_S287","Wooliver_ITS_2C5_Beever240927_S295","Wooliver_ITS_2C6_Beever240927_S303","Wooliver_ITS_2C7_Beever240927_S311","Wooliver_ITS_2C8_Beever240927_S319","Wooliver_ITS_2D4_Beever240927_S288","Wooliver_ITS_2D5_Beever240927_S296","Wooliver_ITS_2D6_Beever240927_S304","Wooliver_ITS_2D7_Beever240927_S312","Wooliver_ITS_2D8_Beever240927_S320","Wooliver_ITS_2E4_Beever240927_S289","Wooliver_ITS_2E5_Beever240927_S297","Wooliver_ITS_2E6_Beever240927_S305","Wooliver_ITS_2E7_Beever240927_S313","Wooliver_ITS_2E8_Beever240927_S321","Wooliver_ITS_2F4_Beever240927_S290","Wooliver_ITS_2F5_Beever240927_S298","Wooliver_ITS_2F6_Beever240927_S306","Wooliver_ITS_2F7_Beever240927_S314","Wooliver_ITS_2F8_Beever240927_S322","Wooliver_ITS_2G4_Beever240927_S291","Wooliver_ITS_2G5_Beever240927_S299","Wooliver_ITS_2G6_Beever240927_S307","Wooliver_ITS_2G7_Beever240927_S315","Wooliver_ITS_2G8_Beever240927_S323","Wooliver_ITS_2H4_Beever240927_S292","Wooliver_ITS_2H5_Beever240927_S300","Wooliver_ITS_2H6_Beever240927_S308","Wooliver_ITS_2H7_Beever240927_S316","Wooliver_ITS_2H8_Beever240927_S324"
"k__Fungi|p__Aphelidiomycota|c__Aphelidiomycetes|o__GS16|t__NA",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Aphelidiomycota|c__Aphelidiomycetes|t__NA",0,0,6,7,2,0,0,0,0,0,0,0,0,0,34,0,0,37,3,0,12,5,0,0,11,0,0,0,15,11,0,22,0,2,0,7,0,0,0,8,0,0,21,3,0,10,0,0,0,0,0,0,0,30,3,0,14,2,0,2,0,4,0,7,11,4,0,0,0,0,4,0,0,0,0,3,0,0,6,3
"k__Fungi|p__Aphelidiomycota|t__NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Acrospermales|f__Acrospermales_fam_Incertae_sedis|g__Leptodiscella|s__africana|t__litter_saprotroph",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Acrospermales|f__Acrospermales_fam_Incertae_sedis|g__Phaeodactylium|t__plant_pathogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Dothiorella|s__viticola|t__plant_pathogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Lasiodiplodia|t__plant_pathogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Macrophomina|s__phaseolina|t__plant_pathogen",0,0,23,306,51,0,145,104,0,0,72,10,18,34,278,0,0,573,99,0,249,171,0,0,60,0,0,0,288,83,0,231,64,15,0,59,0,31,0,173,0,0,177,88,0,226,67,0,45,0,45,17,0,210,241,0,247,118,19,0,63,0,23,0,398,29,0,171,127,18,886,59,0,19,37,26,19,0,175,71
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Capnodiaceae|g__Chaetocapnodium|t__sooty_mold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Cladosporiaceae|g__Cladosporium|s__adianticola|t__litter_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,3,0,0,0,15,0,2,0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Cladosporiaceae|g__Cladosporium|s__basi-inflatum|t__litter_saprotroph",0,0,0,3,5,0,11,11,0,0,6,0,0,0,0,0,0,6,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,4,10,0,2,2,0,0,4,18,2,0,0,4,0,0,0,0,0,0,23,0,0,0,0,0,7,0,0,0,0,0,4,0,2,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Cladosporiaceae|g__Cladosporium|s__halotolerans|t__litter_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Cladosporiaceae|g__Cladosporium|s__herbarum|t__litter_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Cladosporiaceae|g__Cladosporium|s__sphaerospermum|t__litter_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Neodevriesiaceae|g__Neodevriesia|t__plant_pathogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Paradevriesiaceae|g__Paradevriesia|s__americana|t__",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,128,0,0,0,0,0,0,7,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideales|f__Saccotheciaceae|g__Aureobasidium|s__pullulans|t__sooty_mold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideales|f__Saccotheciaceae|g__Selenophoma|s__mahoniae|t__wood_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes_ord_Incertae_sedis|f__Dothideomycetes_fam_Incertae_sedis|g__Catinella|s__olivacea|t__wood_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes_ord_Incertae_sedis|f__Dothideomycetes_fam_Incertae_sedis|g__Pseudoarthrographis|t__plant_pathogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes_ord_Incertae_sedis|f__Eremomycetaceae|g__Arthrographis|s__kalrae|t__unspecified_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes_ord_Incertae_sedis|f__Eremomycetaceae|g__Arthrographis|s__longispora|t__unspecified_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes_ord_Incertae_sedis|f__Eremomycetaceae|g__Arthrographis|t__unspecified_saprotroph",0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Minutisphaerales|f__Minutisphaeraceae|g__Minutisphaera|s__aspera|t__wood_saprotroph",0,0,0,7,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,3,0,0,0,0,0,0,8,0,3,0,0,0,2,0,6,0,0,0,0,0,39,6,0,0,138,0,2,0,10,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Cercospora|s__zeae-maydis|t__plant_pathogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Cercospora|t__plant_pathogen",0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Coremiopassalora|s__leptophlebae|t__litter_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
