"","Wooliver_ITS_1A10_Beever240927_S237","Wooliver_ITS_1A6_Beever240927_S205","Wooliver_ITS_1A7_Beever240927_S213","Wooliver_ITS_1A8_Beever240927_S221","Wooliver_ITS_1A9_Beever240927_S229","Wooliver_ITS_1B10_Beever240927_S238","Wooliver_ITS_1B6_Beever240927_S206","Wooliver_ITS_1B7_Beever240927_S214","Wooliver_ITS_1B8_Beever240927_S222","Wooliver_ITS_1B9_Beever240927_S230","Wooliver_ITS_1C10_Beever240927_S239","Wooliver_ITS_1C6_Beever240927_S207","Wooliver_ITS_1C7_Beever240927_S215","Wooliver_ITS_1C8_Beever240927_S223","Wooliver_ITS_1C9_Beever240927_S231","Wooliver_ITS_1D10_Beever240927_S240","Wooliver_ITS_1D6_Beever240927_S208","Wooliver_ITS_1D7_Beever240927_S216","Wooliver_ITS_1D8_Beever240927_S224","Wooliver_ITS_1D9_Beever240927_S232","Wooliver_ITS_1E10_Beever240927_S241","Wooliver_ITS_1E6_Beever240927_S209","Wooliver_ITS_1E7_Beever240927_S217","Wooliver_ITS_1E8_Beever240927_S225","Wooliver_ITS_1E9_Beever240927_S233","Wooliver_ITS_1F10_Beever240927_S242","Wooliver_ITS_1F6_Beever240927_S210","Wooliver_ITS_1F7_Beever240927_S218","Wooliver_ITS_1F8_Beever240927_S226","Wooliver_ITS_1F9_Beever240927_S234","Wooliver_ITS_1G10_Beever240927_S243","Wooliver_ITS_1G6_Beever240927_S211","Wooliver_ITS_1G7_Beever240927_S219","Wooliver_ITS_1G8_Beever240927_S227","Wooliver_ITS_1G9_Beever240927_S235","Wooliver_ITS_1H10_Beever240927_S244","Wooliver_ITS_1H6_Beever240927_S212","Wooliver_ITS_1H7_Beever240927_S220","Wooliver_ITS_1H8_Beever240927_S228","Wooliver_ITS_1H9_Beever240927_S236","Wooliver_ITS_2A4_Beever240927_S285","Wooliver_ITS_2A5_Beever240927_S293","Wooliver_ITS_2A6_Beever240927_S301","Wooliver_ITS_2A7_Beever240927_S309","Wooliver_ITS_2A8_Beever240927_S317","Wooliver_ITS_2B4_Beever240927_S286","Wooliver_ITS_2B5_Beever240927_S294","Wooliver_ITS_2B6_Beever240927_S302","Wooliver_ITS_2B7_Beever240927_S310","Wooliver_ITS_2B8_Beever240927_S318","Wooliver_ITS_2C4_Beever240927_S287","Wooliver_ITS_2C5_Beever240927_S295","Wooliver_ITS_2C6_Beever240927_S303","Wooliver_ITS_2C7_Beever240927_S311","Wooliver_ITS_2C8_Beever240927_S319","Wooliver_ITS_2D4_Beever240927_S288","Wooliver_ITS_2D5_Beever240927_S296","Wooliver_ITS_2D6_Beever240927_S304","Wooliver_ITS_2D7_Beever240927_S312","Wooliver_ITS_2D8_Beever240927_S320","Wooliver_ITS_2E4_Beever240927_S289","Wooliver_ITS_2E5_Beever240927_S297","Wooliver_ITS_2E6_Beever240927_S305","Wooliver_ITS_2E7_Beever240927_S313","Wooliver_ITS_2E8_Beever240927_S321","Wooliver_ITS_2F4_Beever240927_S290","Wooliver_ITS_2F5_Beever240927_S298","Wooliver_ITS_2F6_Beever240927_S306","Wooliver_ITS_2F7_Beever240927_S314","Wooliver_ITS_2F8_Beever240927_S322","Wooliver_ITS_2G4_Beever240927_S291","Wooliver_ITS_2G5_Beever240927_S299","Wooliver_ITS_2G6_Beever240927_S307","Wooliver_ITS_2G7_Beever240927_S315","Wooliver_ITS_2G8_Beever240927_S323","Wooliver_ITS_2H4_Beever240927_S292","Wooliver_ITS_2H5_Beever240927_S300","Wooliver_ITS_2H6_Beever240927_S308","Wooliver_ITS_2H7_Beever240927_S316","Wooliver_ITS_2H8_Beever240927_S324"
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Macrophomina|s__phaseolina|t__plant_pathogen",0,0,23,306,51,0,145,104,0,0,72,10,18,34,278,0,0,573,99,0,249,171,0,0,60,0,0,0,288,83,0,231,64,15,0,59,0,31,0,173,0,0,177,88,0,226,67,0,45,0,45,17,0,210,241,0,247,118,19,0,63,0,23,0,398,29,0,171,127,18,886,59,0,19,37,26,19,0,175,71
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Stagonosporopsis|s__lupini|t__plant_pathogen",31,279,0,0,152,0,0,108,44,236,168,28,172,127,97,604,136,101,116,0,0,182,33,229,26,0,259,0,0,39,126,3,109,19,157,120,231,185,90,17,237,228,0,134,174,5,90,51,267,29,70,861,0,5,123,77,14,108,52,482,218,89,210,34,18,321,54,0,88,88,0,132,0,39,0,15,321,0,0,64
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporales_fam_Incertae_sedis|g__Polyschema|s__sclerotigenum|t__soil_saprotroph",31,95,38,1279,326,0,197,1401,90,104,63,108,163,26,9,146,59,53,5,46,57,0,71,0,0,17,0,300,15,134,0,0,58,33,178,5,33,174,2,69,176,4,15,236,111,36686,204,0,31,86,31,0,193,13,0,0,34,102,9,115,480,0,210,0,0,41,24,37,18,0,3,5,8,624,141,78,330,77,17,52
"k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__burgense|t__unspecified_saprotroph",40,144,130,488,210,78,333,268,70,90,193,63,108,109,706,90,90,718,155,87,396,231,65,73,118,93,94,97,523,177,91,573,192,44,109,172,67,38,141,467,35,114,449,214,68,545,206,75,89,103,95,49,125,568,276,66,537,218,64,120,142,38,139,173,610,0,87,489,243,86,308,174,82,74,91,55,94,106,361,186
"k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Talaromyces|s__adpressus|t__unspecified_saprotroph",0,0,0,181,13,0,216,79,0,0,29,0,0,0,232,0,0,284,13,0,196,19,15,0,13,0,0,0,181,20,64,527,38,4,0,0,0,0,0,498,0,4,160,0,0,151,48,0,7,0,0,0,0,183,24,0,133,110,8,0,0,3,0,10,241,0,0,147,89,0,146,0,0,0,6,0,0,0,145,15
"k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Talaromyces|s__purpureogenus|t__unspecified_saprotroph",9,27,107,221,35,14,225,104,0,16,10,4,11,21,396,10,28,367,16,2,380,50,0,7,16,3,2,8,378,93,0,382,38,7,27,78,1,17,7,244,10,19,193,30,56,309,50,7,12,5,8,0,41,265,105,12,186,13,8,21,39,0,11,26,385,9,21,228,98,32,222,78,0,11,13,0,0,18,165,96
"k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliales_fam_Incertae_sedis|g__Vermispora|t__animal_parasite",12,327,180,4,1572,85,3,1756,194,288,819,57,192,293,5,274,212,0,894,96,0,1908,46,231,325,190,432,116,0,1356,214,4,1368,89,237,715,201,210,403,0,146,382,0,1389,105,0,1244,183,305,22,131,182,232,0,1716,130,0,2430,212,301,1622,60,406,564,0,207,95,0,1314,100,0,1811,85,206,168,151,348,226,5,315
"k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pyronemataceae|t__NA",85,369,680,20,485,316,26,338,177,640,544,97,148,239,176,270,259,81,243,168,165,699,62,218,358,120,365,378,37,222,196,220,235,174,269,693,32,142,244,28,983,286,22,329,195,0,414,83,271,169,188,292,160,75,316,284,75,190,160,120,314,65,155,535,32,287,172,51,269,107,26,228,176,376,151,113,336,352,17,521
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Chaetosphaeriales|f__Chaetosphaeriaceae|g__Chloridium|s__aseptatum|t__litter_saprotroph",0,20,24,100,330,24,162,551,21,21,1040,36,6,27,161,8,13,305,1790,16,222,338,5,19,21,27,15,35,149,986,4,200,211,6,9,561,9,108,32,201,18,20,246,722,12,178,399,17,31,34,20,12,49,538,277,89,177,408,14,20,243,15,25,32,275,21,0,238,234,12,143,77,15,29,26,13,33,26,125,1071
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Coniochaetales|f__Coniochaetaceae|g__Coniochaeta|s__verticillata|t__unspecified_saprotroph",8,130,51,343,78,11,233,225,43,34,45,16,48,84,732,14,55,612,157,18,378,90,36,16,83,34,53,82,385,76,24,403,64,24,50,59,6,28,56,323,36,32,346,90,33,358,70,50,76,44,31,49,57,497,135,58,412,125,103,124,73,17,68,66,641,34,33,461,147,34,340,91,23,36,21,38,36,46,649,117
