"","Names","scores","Residue.type","kingdom","phylum","class","order","family","genus","species","primarylifestyle","taxon"
"644","k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Exophiala|s__pisciphila|t__animal_parasite",2.27342819614289,"No residue","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","Exophiala","pisciphila","animal_parasite","Exophiala pisciphila"
"649","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Stachylidium|s__bicolor|t__animal_parasite",2.66451969429272,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","Stachylidium","bicolor","animal_parasite","Stachylidium bicolor"
"42","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Stachylidium|s__bicolor|t__animal_parasite",-2.19482195367872,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","Stachylidium","bicolor","animal_parasite","Stachylidium bicolor"
"33","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Stachylidium|s__bicolor|t__animal_parasite",-2.16003150942929,"Five-speices mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","Stachylidium","bicolor","animal_parasite","Stachylidium bicolor"
"14","k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliales_fam_Incertae_sedis|g__Vermispora|t__animal_parasite",-2.53312925657345,"No residue","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliales_fam_Incertae_sedis","Vermispora",NA,"animal_parasite","Vermispora"
"241","k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliales_fam_Incertae_sedis|g__Vermispora|t__animal_parasite",2.88631751466339,"Wheat","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliales_fam_Incertae_sedis","Vermispora",NA,"animal_parasite","Vermispora"
"233","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Lasiosphaeriaceae|g__Schizothecium|t__dung_saprotroph",2.1209128351077,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","Schizothecium",NA,"dung_saprotroph","Schizothecium"
"22","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Minimedusa|s__polyspora|t__lichen_parasite",-2.0589282119349,"No residue","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Minimedusa","polyspora","lichen_parasite","Minimedusa polyspora"
"239","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Minimedusa|s__polyspora|t__lichen_parasite",2.55595251183901,"Wheat","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Minimedusa","polyspora","lichen_parasite","Minimedusa polyspora"
"52","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Minimedusa|s__polyspora|t__lichen_parasite",-2.08535655185815,"Clover","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Minimedusa","polyspora","lichen_parasite","Minimedusa polyspora"
"234","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Chaetosphaeriales|f__Chaetosphaeriaceae|g__Chloridium|s__aseptatum|t__litter_saprotroph",2.17377515371992,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","Chloridium","aseptatum","litter_saprotroph","Chloridium aseptatum"
"633","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Pseudodactylariales|f__Pseudodactylariaceae|g__Pseudodactylaria|s__fusiformis|t__litter_saprotroph",2.03871739594371,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pseudodactylariales","f__Pseudodactylariaceae","Pseudodactylaria","fusiformis","litter_saprotroph","Pseudodactylaria fusiformis"
"244","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Sistotrema|s__coronilla|t__litter_saprotroph",2.99576783543187,"Wheat","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Sistotrema","coronilla","litter_saprotroph","Sistotrema coronilla"
"25","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Sistotrema|s__coronilla|t__litter_saprotroph",-2.56967579513366,"Clover","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Sistotrema","coronilla","litter_saprotroph","Sistotrema coronilla"
"113","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Sistotrema|s__coronilla|t__litter_saprotroph",-2.50812042152338,"Five-speices mix","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Sistotrema","coronilla","litter_saprotroph","Sistotrema coronilla"
"5","k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|t__NA",-3.18007055441819,"No residue","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA,"NA","f__Mortierellaceae"
"242","k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|t__NA",2.90222309887607,"Wheat","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA,"NA","f__Mortierellaceae"
"2331","k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|t__NA",2.68020828963302,"Clover","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA,"NA","f__Mortierellaceae"
"647","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Phomatosporales|f__Phomatosporaceae|t__NA",2.32290366968491,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Phomatosporales","f__Phomatosporaceae",NA,NA,"NA","f__Phomatosporaceae"
"639","k__Fungi|p__Chytridiomycota|c__Rhizophydiomycetes|o__Rhizophydiales|f__Rhizophydiaceae|t__NA",2.20224397417801,"No residue","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiaceae",NA,NA,"NA","f__Rhizophydiaceae"
"650","k__Fungi|t__NA",2.69761312438582,"No residue","k__Fungi",NA,NA,NA,NA,NA,NA,"NA","k__Fungi"
"231","k__Fungi|t__NA",2.03663928530502,"Wheat","k__Fungi",NA,NA,NA,NA,NA,NA,"NA","k__Fungi"
"32","k__Fungi|t__NA",-2.37249776390033,"Clover","k__Fungi",NA,NA,NA,NA,NA,NA,"NA","k__Fungi"
"26","k__Fungi|t__NA",-2.45126492447321,"Five-speices mix","k__Fungi",NA,NA,NA,NA,NA,NA,"NA","k__Fungi"
"8","k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Linnemannia|t__NA",-3.00514063672444,"No residue","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","Linnemannia",NA,"NA","Linnemannia"
"243","k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Linnemannia|t__NA",2.9036864489378,"Wheat","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","Linnemannia",NA,"NA","Linnemannia"
"646","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|t__NA",2.30588172765136,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA,"NA","o__Hypocreales"
"634","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|t__NA",2.04814766836911,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA,"NA","o__Sordariales"
"235","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|t__NA",2.20043679273057,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA,"NA","o__Sordariales"
"62","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|t__NA",-2.06136990175034,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA,"NA","o__Sordariales"
"43","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|t__NA",-2.02560954545332,"Five-speices mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA,"NA","o__Sordariales"
"638","k__Fungi|p__Ascomycota|t__NA",2.1980712979092,"No residue","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"NA","p__Ascomycota"
"13","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Naviculisporaceae|g__Pseudorhypophila|s__marina|t__NA",-2.56285238462964,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Naviculisporaceae","Pseudorhypophila","marina","NA","Pseudorhypophila marina"
"245","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Naviculisporaceae|g__Pseudorhypophila|s__marina|t__NA",3.11473194768378,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Naviculisporaceae","Pseudorhypophila","marina","NA","Pseudorhypophila marina"
"111","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Naviculisporaceae|g__Pseudorhypophila|s__marina|t__NA",-2.62476623981808,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Naviculisporaceae","Pseudorhypophila","marina","NA","Pseudorhypophila marina"
"112","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Naviculisporaceae|g__Pseudorhypophila|s__marina|t__NA",-2.22674566264937,"Wheat-clover mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Naviculisporaceae","Pseudorhypophila","marina","NA","Pseudorhypophila marina"
"19","k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Epicoccum|s__thailandicum|t__plant_pathogen",-2.11652492098631,"No residue","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","Epicoccum","thailandicum","plant_pathogen","Epicoccum thailandicum"
"237","k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Epicoccum|s__thailandicum|t__plant_pathogen",2.37130928343894,"Wheat","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","Epicoccum","thailandicum","plant_pathogen","Epicoccum thailandicum"
"238","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Niessliaceae|g__Eucasphaeria|t__plant_pathogen",2.39743470214708,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Niessliaceae","Eucasphaeria",NA,"plant_pathogen","Eucasphaeria"
"4","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|t__plant_pathogen",-3.20560029736386,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium",NA,"plant_pathogen","Fusarium"
"2341","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|t__plant_pathogen",3.12260347692093,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium",NA,"plant_pathogen","Fusarium"
"9","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__equiseti|t__plant_pathogen",-2.97282115009026,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","equiseti","plant_pathogen","Fusarium equiseti"
"2301","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__equiseti|t__plant_pathogen",2.53945848451347,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","equiseti","plant_pathogen","Fusarium equiseti"
"2421","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__equiseti|t__plant_pathogen",2.5501839874724,"Five-speices mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","equiseti","plant_pathogen","Fusarium equiseti"
