"","Names","scores","Residue.type","kingdom","phylum","class","order","family","genus","species","primarylifestyle","taxon"
"565","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae|g__Metacordyceps|s__chlamydosporia|t__animal_parasite",2.51544099474304,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","Metacordyceps","chlamydosporia","animal_parasite","Metacordyceps chlamydosporia"
"91","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae|g__Metacordyceps|s__chlamydosporia|t__animal_parasite",-2.00520566087019,"Five-speices mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","Metacordyceps","chlamydosporia","animal_parasite","Metacordyceps chlamydosporia"
"566","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Stachylidium|s__bicolor|t__animal_parasite",2.6417040774986,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","Stachylidium","bicolor","animal_parasite","Stachylidium bicolor"
"52","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Stachylidium|s__bicolor|t__animal_parasite",-2.10474596564758,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","Stachylidium","bicolor","animal_parasite","Stachylidium bicolor"
"61","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Stachylidium|s__bicolor|t__animal_parasite",-2.2214590270932,"Five-speices mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","Stachylidium","bicolor","animal_parasite","Stachylidium bicolor"
"15","k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliales_fam_Incertae_sedis|g__Vermispora|t__animal_parasite",-2.37900306171079,"No residue","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliales_fam_Incertae_sedis","Vermispora",NA,"animal_parasite","Vermispora"
"234","k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliales_fam_Incertae_sedis|g__Vermispora|t__animal_parasite",2.78371767237851,"Wheat","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliales_fam_Incertae_sedis","Vermispora",NA,"animal_parasite","Vermispora"
"53","k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliales_fam_Incertae_sedis|g__Vermispora|t__animal_parasite",-2.24343553420365,"Five-speices mix","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliales_fam_Incertae_sedis","Vermispora",NA,"animal_parasite","Vermispora"
"227","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Lasiosphaeriaceae|g__Schizothecium|t__dung_saprotroph",2.15054443621621,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","Schizothecium",NA,"dung_saprotroph","Schizothecium"
"16","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Minimedusa|s__polyspora|t__lichen_parasite",-2.34163075363343,"No residue","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","Minimedusa","polyspora","lichen_parasite","Minimedusa polyspora"
