"","Var1","Freq","percentage"
"1","p__Aphelidiomycota",105,0.29
"2","p__Ascomycota",18497,51.87
"3","p__Basidiobolomycota",28,0.08
"4","p__Basidiomycota",2911,8.16
"5","p__Blastocladiomycota",54,0.15
"6","p__Calcarisporiellomycota",5,0.01
"7","p__Chytridiomycota",2909,8.16
"8","p__Entomophthoromycota",2,0.01
"9","p__Entorrhizomycota",8,0.02
"10","p__Glomeromycota",492,1.38
"11","p__Kickxellomycota",785,2.2
"12","p__Mortierellomycota",1144,3.21
"13","p__Mucoromycota",401,1.12
"14","p__Olpidiomycota",70,0.2
"15","p__Rozellomycota",468,1.31
"16","p__Zoopagomycota",69,0.19
