"","Var1","Freq","percentage"
"1","c__Agaricomycetes",2036,5.71
"2","c__Agaricostilbomycetes",59,0.17
"3","c__Aphelidiomycetes",89,0.25
"4","c__Archaeosporomycetes",16,0.04
"5","c__Atractiellomycetes",50,0.14
"6","c__Basidiobolomycetes",25,0.07
"7","c__Blastocladiomycetes",13,0.04
"8","c__Calcarisporiellomycetes",5,0.01
"9","c__Chytridiomycetes",46,0.13
"10","c__Cladochytriomycetes",15,0.04
"11","c__Classiculomycetes",29,0.08
"12","c__Cystobasidiomycetes",79,0.22
"13","c__Dothideomycetes",3316,9.3
"14","c__Endogonomycetes",22,0.06
"15","c__Entomophthoromycetes",2,0.01
"16","c__Entorrhizomycetes",8,0.02
"17","c__Eurotiomycetes",1939,5.44
"18","c__Exobasidiomycetes",9,0.03
"19","c__Geminibasidiomycetes",4,0.01
"20","c__Glomeromycetes",330,0.93
"21","c__GS13",22,0.06
"22","c__GS14",6,0.02
"23","c__GS17",1,0
"24","c__Kickxellomycetes",117,0.33
"25","c__Laboulbeniomycetes",79,0.22
"26","c__Lecanoromycetes",2,0.01
"27","c__Leotiomycetes",883,2.48
"28","c__Lobulomycetes",105,0.29
"29","c__Malasseziomycetes",2,0.01
"30","c__Microbotryomycetes",111,0.31
"31","c__Mortierellomycetes",1139,3.19
"32","c__Mucoromycetes",375,1.05
"33","c__Mucoromycotina_cls_Incertae_sedis",3,0.01
"34","c__Olpidiomycetes",69,0.19
"35","c__Orbiliomycetes",504,1.41
"36","c__Paraglomeromycetes",141,0.4
"37","c__Pezizomycetes",266,0.75
"38","c__Pezizomycotina_cls_Incertae_sedis",94,0.26
"39","c__Physodermatomycetes",28,0.08
"40","c__Pucciniomycetes",8,0.02
"41","c__Ramicandelaberomycetes",661,1.85
"42","c__Rhizophlyctidomycetes",165,0.46
"43","c__Rhizophydiomycetes",523,1.47
"44","c__Rozellomycetes",1,0
"45","c__Rozellomycota_cls_Incertae_sedis",5,0.01
"46","c__Rozellomycotina_cls_Incertae_sedis",124,0.35
"47","c__Saccharomycetes",107,0.3
"48","c__Sordariomycetes",10505,29.46
"49","c__Spizellomycetes",581,1.63
"50","c__Taphrinomycetes",2,0.01
"51","c__Tremellomycetes",278,0.78
"52","c__Ustilaginomycetes",27,0.08
"53","c__Zoopagomycetes",69,0.19
