"","Var1","Freq","percentage"
"1","o__Acrospermales",2,0.01
"2","o__Agaricales",1283,3.6
"3","o__Agaricostilbales",58,0.16
"4","o__Amphisphaeriales",26,0.07
"5","o__Annulatascales",40,0.11
"6","o__Archaeosporales",16,0.04
"7","o__Atheliales",8,0.02
"8","o__Atractiellales",50,0.14
"9","o__Atractosporales",73,0.2
"10","o__Auriculariales",33,0.09
"11","o__Basidiobolales",25,0.07
"12","o__Blastocladiales",12,0.03
"13","o__Boletales",42,0.12
"14","o__Boliniales",18,0.05
"15","o__Botryosphaeriales",44,0.12
"16","o__Branch02",3,0.01
"17","o__Branch06",162,0.45
"18","o__Calcarisporiellales",5,0.01
"19","o__Cantharellales",155,0.43
"20","o__Capnodiales",89,0.25
"21","o__Catenomycetales",1,0
"22","o__Chaetosphaeriales",361,1.01
"23","o__Chaetothyriales",945,2.65
"24","o__Chytridiales",46,0.13
"25","o__Cladochytriales",15,0.04
"26","o__Classiculales",29,0.08
"27","o__Coniochaetales",433,1.21
"28","o__Conioscyphales",271,0.76
"29","o__Corticiales",21,0.06
"30","o__Cystobasidiales",27,0.08
"31","o__Cystobasidiomycetes_ord_Incertae_sedis",3,0.01
"32","o__Cystofilobasidiales",98,0.27
"33","o__Diaporthales",44,0.12
"34","o__Diaporthomycetidae_ord_Incertae_sedis",36,0.1
"35","o__Distoseptisporales",2,0.01
"36","o__Diversisporales",59,0.17
"37","o__Dothideales",5,0.01
"38","o__Dothideomycetes_ord_Incertae_sedis",11,0.03
"39","o__Endogonales",12,0.03
"40","o__Entomophthorales",2,0.01
"41","o__Entylomatales",8,0.02
"42","o__Erythrobasidiales",2,0.01
"43","o__Eurotiales",861,2.41
"44","o__Filobasidiales",20,0.06
"45","o__Geastrales",1,0
"46","o__Geminibasidiales",4,0.01
"47","o__Gigasporales",38,0.11
"48","o__Glomerales",201,0.56
"49","o__Glomerellales",262,0.73
"50","o__GS02",22,0.06
"51","o__GS05",2,0.01
"52","o__GS07",19,0.05
"53","o__GS08",6,0.02
"54","o__GS11",72,0.2
"55","o__GS16",7,0.02
"56","o__Helotiales",838,2.35
"57","o__Hymenochaetales",9,0.03
"58","o__Hypocreales",3648,10.23
"59","o__Jobellisiales",15,0.04
"60","o__Kickxellales",117,0.33
"61","o__Leucosporidiales",27,0.08
"62","o__Lobulomycetales",88,0.25
"63","o__Lulworthiales",27,0.08
"64","o__Magnaporthales",25,0.07
"65","o__Malasseziales",2,0.01
"66","o__Microascales",141,0.4
"67","o__Microbotryomycetes_ord_Incertae_sedis",26,0.07
"68","o__Minutisphaerales",26,0.07
"69","o__Mortierellales",1138,3.19
"70","o__Mucorales",375,1.05
"71","o__Mucoromycotina_ord_Incertae_sedis",3,0.01
"72","o__Mycosphaerellales",64,0.18
"73","o__Myrmecridiales",105,0.29
"74","o__Mytilinidiales",1,0
"75","o__Olpidiales",69,0.19
"76","o__Onygenales",107,0.3
"77","o__Ophiostomatales",1,0
"78","o__Orbiliales",498,1.4
"79","o__Ostropales",2,0.01
"80","o__Paraglomerales",141,0.4
"81","o__Pezizales",266,0.75
"82","o__Pezizomycotina_ord_Incertae_sedis",60,0.17
"83","o__Phallales",1,0
"84","o__Phomatosporales",74,0.21
"85","o__Physodermatales",28,0.08
"86","o__Pisorisporiales",202,0.57
"87","o__Platygloeales",8,0.02
"88","o__Pleosporales",2937,8.24
"89","o__Pleurotheciales",14,0.04
"90","o__Polyporales",160,0.45
"91","o__Pseudodactylariales",55,0.15
"92","o__Pyxidiophorales",79,0.22
"93","o__Ramicandelaberales",661,1.85
"94","o__Rhizophlyctidales",165,0.46
"95","o__Rhizophydiales",513,1.44
"96","o__Rhytismatales",4,0.01
"97","o__Russulales",37,0.1
"98","o__Saccharomycetales",107,0.3
"99","o__Sakaguchiales",47,0.13
"100","o__Savoryellales",68,0.19
"101","o__Sebacinales",10,0.03
"102","o__Sordariales",3465,9.72
"103","o__Sordariomycetes_ord_Incertae_sedis",208,0.58
"104","o__Spizellomycetales",581,1.63
"105","o__Sporidesmiales",4,0.01
"106","o__Sporidiobolales",25,0.07
"107","o__Talbotiomycetales",8,0.02
"108","o__Taphrinales",2,0.01
"109","o__Thelebolales",38,0.11
"110","o__Thelephorales",24,0.07
"111","o__Thyridiales",4,0.01
"112","o__Trechisporales",89,0.25
"113","o__Tremellales",132,0.37
"114","o__Tremellodendropsidales",25,0.07
"115","o__Trichosphaeriales",112,0.31
"116","o__Trichosporonales",28,0.08
"117","o__Tubeufiales",61,0.17
"118","o__Ustilaginales",26,0.07
"119","o__Venturiales",70,0.2
"120","o__Violaceomycetales",1,0
"121","o__Xylariales",346,0.97
"122","o__Zoopagales",69,0.19
