"","Var1","Freq","percentage"
"1","g__Aaosphaeria",29,0.08
"2","g__Absidia",72,0.2
"3","g__Achroceratosphaeria",27,0.08
"4","g__Achroiostachys",5,0.01
"5","g__Acidomelania",1,0
"6","g__Acremoniopsis",52,0.15
"7","g__Acremonium",211,0.59
"8","g__Acrocalymma",68,0.19
"9","g__Acrophialophora",27,0.08
"10","g__Actinomucor",6,0.02
"11","g__Agaricus",5,0.01
"12","g__Agrocybe",8,0.02
"13","g__Akanthomyces",2,0.01
"14","g__Albifimbria",31,0.09
"15","g__Alfaria",51,0.14
"16","g__Allobotryotrichum",8,0.02
"17","g__Allomyces",1,0
"18","g__Alogomyces",1,0
"19","g__Alternaria",30,0.08
"20","g__Amanita",1,0
"21","g__Ambispora",6,0.02
"22","g__Amorocoelophoma",1,0
"23","g__Amphinema",2,0.01
"24","g__Amphobotrys",5,0.01
"25","g__Annulohypoxylon",2,0.01
"26","g__Anthostomella",2,0.01
"27","g__Apiosordaria",4,0.01
"28","g__Apiospora",4,0.01
"29","g__Apiotrichum",24,0.07
"30","g__Apodospora",6,0.02
"31","g__Apodus",27,0.08
"32","g__Aquapeziza",45,0.13
"33","g__Arachnion",35,0.1
"34","g__Arachnopeziza",1,0
"35","g__Arcopilus",27,0.08
"36","g__Armillaria",25,0.07
"37","g__Arnium",27,0.08
"38","g__Arthrobotrys",59,0.17
"39","g__Arthrocladium",2,0.01
"40","g__Arthrographis",9,0.03
"41","g__Articulospora",6,0.02
"42","g__Arxiella",1,0
"43","g__Arxotrichum",15,0.04
"44","g__Ascobolus",18,0.05
"45","g__Ascochyta",5,0.01
"46","g__Ascodesmis",2,0.01
"47","g__Ascosphaera",1,0
"48","g__Aseroe",1,0
"49","g__Aspergillus",208,0.58
"50","g__Atractiella",49,0.14
"51","g__Atractium",20,0.06
"52","g__Atrocalyx",21,0.06
"53","g__Aureobasidium",4,0.01
"54","g__Auricularia",3,0.01
"55","g__Babjevia",1,0
"56","g__Backusella",2,0.01
"57","g__Bactrodesmium",19,0.05
"58","g__Badarisama",1,0
"59","g__Bannozyma",1,0
"60","g__Barbatosphaeria",1,0
"61","g__Barnettozyma",1,0
"62","g__Bartalinia",20,0.06
"63","g__Basidiobolus",11,0.03
"64","g__Beauveria",29,0.08
"65","g__Betamyces",54,0.15
"66","g__Biatriospora",1,0
"67","g__Bifiguratus",3,0.01
"68","g__Bipolaris",11,0.03
"69","g__Biscogniauxia",4,0.01
"70","g__Bisifusarium",9,0.03
"71","g__Blakeslea",2,0.01
"72","g__Bloxamia",25,0.07
"73","g__Boeremia",4,0.01
"74","g__Bolbitius",3,0.01
"75","g__Boletinellus",3,0.01
"76","g__Boletus",1,0
