"","Var1","Freq","percentage"
"1","",63,0.18
"2","algal_parasite",62,0.17
"3","animal_parasite",957,2.68
"4","arbuscular_mycorrhizal",381,1.07
"5","arthropod-associated",3,0.01
"6","dung_saprotroph",1084,3.04
"7","ectomycorrhizal",106,0.3
"8","epiphyte",38,0.11
"9","foliar_endophyte",223,0.63
"10","lichen_parasite",173,0.49
"11","litter_saprotroph",2076,5.82
"12","mycoparasite",989,2.77
"13","nectar/tap_saprotroph",70,0.2
"14","plant_pathogen",2631,7.38
"15","pollen_saprotroph",256,0.72
"16","root_endophyte",9,0.03
"17","soil_saprotroph",3867,10.84
"18","sooty_mold",6,0.02
"19","unspecified",12,0.03
"20","unspecified_saprotroph",1841,5.16
"21","wood_saprotroph",3331,9.34
