"","Var1","Freq","percentage"
"1","Apiosordaria longicaudata",4,0.37
"2","Apodus deciduus",27,2.49
"3","Arnium NA",27,2.49
"4","Ascodesmis NA",2,0.18
"5","Bolbitius coprophilus",3,0.28
"6","Cercophora coronata",2,0.18
"7","Cercophora fici",14,1.29
"8","Cercophora samala",1,0.09
"9","Chaetomidium leptoderma",21,1.94
"10","Coprinus cordisporus",34,3.14
"11","Cyniclomyces guttulatus",1,0.09
"12","Enterocarpus grenotii",2,0.18
"13","Kernia columnaris",1,0.09
"14","Panaeolus axfordii",2,0.18
"15","Podospora appendiculata",4,0.37
"16","Podospora bicolor",1,0.09
"17","Podospora immersa",1,0.09
"18","Podospora intestinacea",125,11.53
"19","Podospora minicauda",38,3.51
"20","Preussia flanaganii",62,5.72
"21","Preussia persica",41,3.78
"22","Preussia polymorpha",5,0.46
"23","Preussia tenerifae",14,1.29
"24","Preussia terricola",2,0.18
"25","Pseudeurotium hygrophilum",17,1.57
"26","Pseudeurotium ovale",19,1.75
"27","Remersonia NA",1,0.09
"28","Remersonia tenuis",1,0.09
"29","Schizothecium curvuloides",97,8.95
"30","Schizothecium glutinans",28,2.58
"31","Schizothecium miniglutinans",3,0.28
"32","Schizothecium NA",381,35.15
"33","Schizothecium selenosporum",1,0.09
"34","Thelebolus globosus",1,0.09
"35","Thielavia terrestris",6,0.55
"36","Trichobolus NA",2,0.18
"37","Westerdykella NA",42,3.87
"38","Westerdykella ornata",43,3.97
"39","Zopfiella NA",3,0.28
"40","Zopfiella tardifaciens",5,0.46
