"","Var1","Freq","percentage"
"1","f__Acrospermales_fam_Incertae_sedis",1,0.05
"2","f__Agaricaceae",1,0.05
"3","f__Amorosiaceae",1,0.05
"4","f__Ascobolaceae",18,0.87
"5","f__Bionectriaceae",28,1.35
"6","f__Bulleribasidiaceae",3,0.14
"7","f__Chaetomellaceae",1,0.05
"8","f__Chaetomiaceae",119,5.73
"9","f__Chaetosphaeriaceae",320,15.41
"10","f__Choanephoraceae",1,0.05
"11","f__Cladosporiaceae",36,1.73
"12","f__Coniothyriaceae",1,0.05
"13","f__Cyphellophoraceae",170,8.19
"14","f__Cystofilobasidiaceae",89,4.29
"15","f__Dermateaceae",2,0.1
"16","f__Dictyosporiaceae",1,0.05
"17","f__Didymellaceae",4,0.19
"18","f__Entolomataceae",7,0.34
"19","f__Geastraceae",1,0.05
"20","f__Helotiaceae",80,3.85
"21","f__Helotiales_fam_Incertae_sedis",6,0.29
"22","f__Herpotrichiellaceae",3,0.14
"23","f__Hyaloscyphaceae",37,1.78
"24","f__Hydnaceae",11,0.53
"25","f__Hypocreales_fam_Incertae_sedis",14,0.67
"26","f__Loramycetaceae",2,0.1
"27","f__Lycoperdaceae",64,3.08
"28","f__Magnaporthaceae",1,0.05
"29","f__Marasmiaceae",6,0.29
"30","f__Microdochiaceae",1,0.05
"31","f__Mycenaceae",18,0.87
"32","f__Mycosphaerellaceae",3,0.14
"33","f__Nectriaceae",64,3.08
"34","f__Niessliaceae",27,1.3
"35","f__Omphalotaceae",4,0.19
"36","f__Pezizomycotina_fam_Incertae_sedis",40,1.93
"37","f__Phaeosphaeriaceae",248,11.95
"38","f__Phaffomycetaceae",4,0.19
"39","f__Physalacriaceae",26,1.25
"40","f__Plectosphaerellaceae",18,0.87
"41","f__Pleomassariaceae",3,0.14
"42","f__Pleosporales_fam_Incertae_sedis",4,0.19
"43","f__Ploettnerulaceae",2,0.1
"44","f__Pluteaceae",43,2.07
"45","f__Psathyrellaceae",100,4.82
"46","f__Pseudodactylariaceae",55,2.65
"47","f__Pyronemataceae",1,0.05
"48","f__Pyxidiophoraceae",9,0.43
"49","f__Rhizophlyctidaceae",92,4.43
"50","f__Sporocadaceae",19,0.92
"51","f__Sporormiaceae",3,0.14
"52","f__Stachybotryaceae",77,3.71
"53","f__Strophariaceae",4,0.19
"54","f__Sympoventuriaceae",3,0.14
"55","f__Tarzettaceae",2,0.1
"56","f__Teichosporaceae",1,0.05
"57","f__Tetraplosphaeriaceae",31,1.49
"58","f__Thelephoraceae",2,0.1
"59","f__Thyridariaceae",21,1.01
"60","f__Tricholomataceae",5,0.24
"61","f__Trichosphaeriaceae",112,5.39
"62","f__Tricladiaceae",5,0.24
"63","f__Xylariaceae",1,0.05
