"","Var1","Freq","percentage"
"1","Alfaria",51,2.46
"2","Amorocoelophoma",1,0.05
"3","Armillaria",25,1.2
"4","Articulospora",6,0.29
"5","Arxiella",1,0.05
"6","Ascobolus",18,0.87
"7","Bisifusarium",9,0.43
"8","Brunneomyces",9,0.43
"9","Cadophora",2,0.1
"10","Calloria",2,0.1
"11","Chaetomella",1,0.05
"12","Chaetomium",119,5.73
"13","Chaetosphaeria",138,6.65
"14","Chalara",1,0.05
"15","Cheilymenia",1,0.05
"16","Chloridium",151,7.27
"17","Choanephora",1,0.05
"18","Cladosporium",36,1.73
"19","Clitopilus",6,0.29
"20","Clypeosphaeria",1,0.05
"21","Coremiopassalora",3,0.14
"22","Cyphellophora",170,8.19
"23","Cystofilobasidium",89,4.29
"24","Densocarpa",2,0.1
"25","Dictyochaeta",27,1.3
"26","Dinemasporium",3,0.14
"27","Dioszegia",3,0.14
"28","Diplonaevia",2,0.1
"29","Galiicola",1,0.05
"30","Geastrum",1,0.05
"31","Gemmina",1,0.05
"32","Gregarithecium",1,0.05
"33","Gymnopus",1,0.05
"34","Hazslinszkyomyces",1,0.05
"35","Hyalopeziza",1,0.05
"36","Hydropisphaera",24,1.16
"37","Hymenoscyphus",21,1.01
"38","Idriella",1,0.05
"39","Lacrymaria",100,4.82
"40","Lasionectria",2,0.1
"41","Lepiota",1,0.05
"42","Lepista",5,0.24
"43","Leptodiscella",1,0.05
"44","Leptospora",7,0.34
"45","Loramyces",2,0.1
"46","Lycoperdon",64,3.08
"47","Magnohelicospora",2,0.1
"48","Marasmiellus",3,0.14
"49","Marasmius",6,0.29
"50","Microscypha",35,1.69
"51","Mycena",18,0.87
"52","Mycoarthris",3,0.14
"53","Myrothecium",26,1.25
"54","Nectriella",2,0.1
"55","Neopseudolachnella",1,0.05
"56","Neosetophoma",53,2.55
"57","Niesslia",27,1.3
"58","Nigrospora",112,5.39
"59","Odontia",2,0.1
"60","Paracylindrocarpon",2,0.1
"61","Paragibellulopsis",9,0.43
"62","Parathyridaria",21,1.01
"63","Phaeosphaeria",146,7.03
"64","Phialophora",3,0.14
"65","Pluteus",37,1.78
"66","Polylobatispora",15,0.72
"67","Pseudodactylaria",55,2.65
"68","Pseudoophiobolus",17,0.82
"69","Pyxidiophora",9,0.43
"70","Rhizophlyctis",92,4.43
"71","Rhodocybe",1,0.05
"72","Robillarda",17,0.82
"73","Sclerostagonospora",15,0.72
"74","Septoriella",9,0.43
"75","Sesquicillium",14,0.67
"76","Sistotrema",11,0.53
"77","Spirosphaera",3,0.14
"78","Sporormiella",3,0.14
"79","Stephanonectria",12,0.58
"80","Strobilurus",1,0.05
"81","Stropharia",4,0.19
"82","Teichospora",1,0.05
"83","Tetracladium",53,2.55
"84","Tetraploa",31,1.49
"85","Thelonectria",29,1.4
"86","Tricellula",25,1.2
"87","Tricladium",2,0.1
"88","Tumenectria",12,0.58
"89","Tumularia",3,0.14
"90","Veronaeopsis",3,0.14
"91","Volvariella",6,0.29
"92","Wettsteinina",4,0.19
"93","Wickerhamomyces",4,0.19
"94","Xenodidymella",4,0.19
