"","Var1","Freq","percentage"
"1","Alfaria caricicola",8,0.39
"2","Alfaria cyperi-esculenti",4,0.19
"3","Alfaria NA",6,0.29
"4","Alfaria terrestris",33,1.59
"5","Amorocoelophoma cassiae",1,0.05
"6","Armillaria borealis",22,1.06
"7","Armillaria ectypa",1,0.05
"8","Armillaria hinnulea",1,0.05
"9","Armillaria NA",1,0.05
"10","Articulospora NA",1,0.05
"11","Articulospora proliferata",5,0.24
"12","Arxiella celtidis",1,0.05
"13","Ascobolus NA",18,0.87
"14","Bisifusarium delphinoides",2,0.1
"15","Bisifusarium dimerum",7,0.34
"16","Brunneomyces brunnescens",9,0.43
"17","Cadophora luteo-olivacea",2,0.1
"18","Calloria NA",2,0.1
"19","Chaetomella raphigera",1,0.05
"20","Chaetomium angustispirale",21,1.01
"21","Chaetomium apiculatum",2,0.1
"22","Chaetomium grande",4,0.19
"23","Chaetomium NA",52,2.5
"24","Chaetomium subspirilliferum",40,1.93
"25","Chaetosphaeria NA",51,2.46
"26","Chaetosphaeria pygmaea",36,1.73
"27","Chaetosphaeria vermicularioides",51,2.46
"28","Chalara aurea",1,0.05
"29","Cheilymenia NA",1,0.05
"30","Chloridium aseptatum",113,5.44
"31","Chloridium submersum",38,1.83
"32","Choanephora cucurbitarum",1,0.05
"33","Cladosporium adianticola",6,0.29
"34","Cladosporium basi-inflatum",20,0.96
"35","Cladosporium halotolerans",3,0.14
"36","Cladosporium herbarum",6,0.29
"37","Cladosporium sphaerospermum",1,0.05
"38","Clitopilus amygdaliformis",1,0.05
"39","Clitopilus hobsonii",1,0.05
"40","Clitopilus NA",1,0.05
"41","Clitopilus prunulus",3,0.14
"42","Clypeosphaeria NA",1,0.05
"43","Coremiopassalora leptophlebae",3,0.14
"44","Cyphellophora fusarioides",79,3.81
"45","Cyphellophora goniomatis",2,0.1
"46","Cyphellophora livistonae",18,0.87
"47","Cyphellophora NA",16,0.77
"48","Cyphellophora oxyspora",21,1.01
"49","Cyphellophora sessilis",1,0.05
"50","Cyphellophora suttonii",6,0.29
"51","Cyphellophora vermispora",27,1.3
"52","Cystofilobasidium capitatum",3,0.14
"53","Cystofilobasidium macerans",86,4.14
"54","Densocarpa shanorii",2,0.1
"55","Dictyochaeta lithocarpi",27,1.3
"56","Dinemasporium bambusicola",3,0.14
"57","Dioszegia takashimae",1,0.05
"58","Dioszegia zsoltii",2,0.1
"59","Diplonaevia bresadolae",2,0.1
"60","Galiicola baoshanensis",1,0.05
"61","Geastrum rufescens",1,0.05
"62","Gemmina gemmarum",1,0.05
"63","Gregarithecium curvisporum",1,0.05
"64","Gymnopus junquilleus",1,0.05
"65","Hazslinszkyomyces NA",1,0.05
"66","Hyalopeziza NA",1,0.05
"67","Hydropisphaera multiloculata",19,0.92
"68","Hydropisphaera NA",5,0.24
"69","Hymenoscyphus NA",21,1.01
"70","Idriella lunata",1,0.05
"71","Lacrymaria glareosa",88,4.24
"72","Lacrymaria lacrymabunda",12,0.58
"73","Lasionectria NA",2,0.1
"74","Lepiota NA",1,0.05
"75","Lepista densifolia",1,0.05
"76","Lepista nuda",4,0.19
"77","Leptodiscella africana",1,0.05
"78","Leptospora macarangae",3,0.14
"79","Leptospora NA",2,0.1
"80","Leptospora thailandica",2,0.1
"81","Loramyces NA",2,0.1
"82","Lycoperdon echinatum",4,0.19
"83","Lycoperdon ericaeum",1,0.05
"84","Lycoperdon NA",23,1.11
"85","Lycoperdon pratense",8,0.39
"86","Lycoperdon pyriforme",26,1.25
"87","Lycoperdon subumbrinum",1,0.05
"88","Lycoperdon utriforme",1,0.05
"89","Magnohelicospora iberica",2,0.1
"90","Marasmiellus paspali",3,0.14
"91","Marasmius leucorotalis",6,0.29
"92","Microscypha NA",35,1.69
"93","Mycena haematopus",1,0.05
"94","Mycena rosea",17,0.82
"95","Mycoarthris NA",3,0.14
"96","Myrothecium gramineum",2,0.1
"97","Myrothecium inundatum",14,0.67
"98","Myrothecium NA",10,0.48
"99","Nectriella NA",2,0.1
"100","Neopseudolachnella NA",1,0.05
"101","Neosetophoma buxi",4,0.19
"102","Neosetophoma guiyangensis",17,0.82
"103","Neosetophoma NA",2,0.1
"104","Neosetophoma poaceicola",6,0.29
"105","Neosetophoma rosigena",15,0.72
"106","Neosetophoma samarorum",3,0.14
"107","Neosetophoma sambuci",1,0.05
"108","Neosetophoma xingrensis",5,0.24
"109","Niesslia mucida",27,1.3
"110","Nigrospora aurantiaca",6,0.29
