"","Var1","Freq","percentage"
"1","f__Acrospermales_fam_Incertae_sedis",1,0.04
"2","f__Amphisphaeriaceae",48,1.82
"3","f__Apiosporaceae",4,0.15
"4","f__Bondarzewiaceae",1,0.04
"5","f__Botryosphaeriaceae",44,1.67
"6","f__Ceratobasidiaceae",60,2.28
"7","f__Ceratocystidaceae",2,0.08
"8","f__Chaetomiaceae",35,1.33
"9","f__Choanephoraceae",11,0.42
"10","f__Clavicipitaceae",9,0.34
"11","f__Coniothyriaceae",38,1.44
"12","f__Corticiaceae",17,0.65
"13","f__Dermateaceae",28,1.06
"14","f__Diaporthaceae",20,0.76
"15","f__Diatrypaceae",3,0.11
"16","f__Dictyosporiaceae",32,1.22
"17","f__Didymellaceae",255,9.69
"18","f__Didymosphaeriaceae",52,1.98
"19","f__Discosiaceae",2,0.08
"20","f__Dothideomycetes_fam_Incertae_sedis",1,0.04
"21","f__Entylomataceae",1,0.04
"22","f__Eocronartiaceae",8,0.3
"23","f__Ganodermataceae",127,4.83
"24","f__Glomerellaceae",22,0.84
"25","f__Helotiales_fam_Incertae_sedis",5,0.19
"26","f__Herpotrichiellaceae",34,1.29
"27","f__Hymenochaetaceae",2,0.08
"28","f__Hypocreales_fam_Incertae_sedis",57,2.17
"29","f__Hyponectriaceae",48,1.82
"30","f__Leptosphaeriaceae",26,0.99
"31","f__Magnaporthaceae",24,0.91
"32","f__Mrakiaceae",4,0.15
"33","f__Mycosphaerellaceae",56,2.13
"34","f__Nectriaceae",448,17.03
"35","f__Neodevriesiaceae",1,0.04
"36","f__Niessliaceae",132,5.02
"37","f__Ophiostomataceae",1,0.04
"38","f__Papulosaceae",21,0.8
"39","f__Periconiaceae",56,2.13
"40","f__Pestalotiopsidaceae",24,0.91
"41","f__Phaeosphaeriaceae",148,5.63
"42","f__Physodermataceae",6,0.23
"43","f__Plectosphaerellaceae",156,5.93
"44","f__Pleosporaceae",420,15.96
"45","f__Pseudodidymellaceae",2,0.08
"46","f__Sarcosomataceae",20,0.76
"47","f__Sclerotiniaceae",8,0.3
"48","f__Sordariales_fam_Incertae_sedis",69,2.62
"49","f__Strelitzianaceae",1,0.04
"50","f__Taphrinaceae",2,0.08
"51","f__Torulaceae",11,0.42
"52","f__Typhulaceae",1,0.04
"53","f__Ustilaginaceae",25,0.95
"54","f__Valsaceae",1,0.04
"55","f__Xylariaceae",1,0.04
