"","Var1","Freq","percentage"
"1","Acrophialophora",27,1.03
"2","Allobotryotrichum",8,0.3
"3","Alternaria",30,1.14
"4","Amphobotrys",5,0.19
"5","Apiospora",4,0.15
"6","Ascochyta",5,0.19
"7","Bipolaris",11,0.42
"8","Boeremia",4,0.15
"9","Botrytis",4,0.15
"10","Ceratobasidium",45,1.71
"11","Ceratocystis",2,0.08
"12","Cercospora",17,0.65
"13","Claviceps",2,0.08
"14","Coleophoma",24,0.91
"15","Colletotrichum",22,0.84
"16","Coniothyrium",36,1.37
"17","Cordana",69,2.62
"18","Curvularia",329,12.5
"19","Cylindrocladiella",4,0.15
"20","Cytospora",1,0.04
"21","Dactylonectria",30,1.14
"22","Dendryphion",11,0.42
"23","Didymella",43,1.63
"24","Discosia",2,0.08
"25","Dothiorella",1,0.04
"26","Edenia",11,0.42
"27","Entyloma",1,0.04
"28","Eocronartium",8,0.3
"29","Epicoccum",102,3.88
"30","Eucasphaeria",132,5.02
"31","Exserohilum",23,0.87
"32","Fomitiporia",2,0.08
"33","Fusarium",368,13.99
"34","Gaeumannomyces",21,0.8
"35","Ganoderma",127,4.83
"36","Gibellulopsis",3,0.11
"37","Gilbertella",11,0.42
"38","Heterobasidion",1,0.04
"39","Heterophoma",2,0.08
"40","Ilyonectria",3,0.11
"41","Itersonilia",4,0.15
"42","Lasiodiplodia",1,0.04
"43","Lectera",30,1.14
"44","Limonomyces",3,0.11
"45","Macrophomina",42,1.6
"46","Microdochium",48,1.82
"47","Monographella",48,1.82
"48","Monosporascus",1,0.04
"49","Mycodidymella",2,0.08
"50","Mycoleptodiscus",3,0.11
"51","Neoascochyta",42,1.6
"52","Neoconiothyrium",2,0.08
"53","Neodevriesia",1,0.04
"54","Neonectria",4,0.15
"55","Ophiosphaerella",10,0.38
"56","Paraphoma",110,4.18
"57","Parastagonospora",2,0.08
"58","Passalora",5,0.19
"59","Periconia",56,2.13
"60","Peroneutypa",2,0.08
"61","Pestalotiopsis",24,0.91
"62","Phaeocytostroma",13,0.49
"63","Phaeodactylium",1,0.04
"64","Phaeosphaeriopsis",7,0.27
"65","Phomopsis",2,0.08
"66","Physoderma",6,0.23
"67","Plectosphaerella",55,2.09
"68","Plenodomus",26,0.99
"69","Pseudoarthrographis",1,0.04
"70","Pseudocoleophoma",32,1.22
"71","Pseudopithomyces",52,1.98
"72","Pyrenopeziza",4,0.15
"73","Pyrenophora",2,0.08
"74","Rosellinia",1,0.04
"75","Sarocladium",57,2.17
"76","Sclerotinia",4,0.15
"77","Septoria",34,1.29
"78","Setophaeosphaeria",3,0.11
"79","Setophoma",16,0.61
"80","Similiphoma",3,0.11
"81","Sporothrix",1,0.04
"82","Stagonosporopsis",54,2.05
"83","Stemphylium",14,0.53
"84","Stenocarpella",5,0.19
"85","Strelitziana",1,0.04
"86","Strumella",1,0.04
"87","Taphrina",2,0.08
"88","Thanatephorus",15,0.57
"89","Typhula",1,0.04
"90","Urnula",19,0.72
"91","Ustilaginoidea",7,0.27
"92","Ustilago",25,0.95
"93","Veronaea",34,1.29
"94","Verticillium",68,2.58
"95","Volutella",39,1.48
"96","Waitea",14,0.53
"97","Wongia",21,0.8
