"","Var1","Freq","percentage"
"1","o__Acrospermales",1,0.04
"2","o__Agaricales",1,0.04
"3","o__Amphisphaeriales",26,0.99
"4","o__Blastocladiales",6,0.23
"5","o__Botryosphaeriales",44,1.67
"6","o__Cantharellales",60,2.28
"7","o__Capnodiales",1,0.04
"8","o__Chaetothyriales",35,1.33
"9","o__Corticiales",17,0.65
"10","o__Cystofilobasidiales",4,0.15
"11","o__Diaporthales",21,0.8
"12","o__Dothideomycetes_ord_Incertae_sedis",1,0.04
"13","o__Entylomatales",1,0.04
"14","o__Glomerellales",178,6.77
"15","o__Helotiales",41,1.56
"16","o__Hymenochaetales",2,0.08
"17","o__Hypocreales",646,24.55
"18","o__Magnaporthales",24,0.91
"19","o__Microascales",2,0.08
"20","o__Mucorales",11,0.42
"21","o__Mycosphaerellales",56,2.13
"22","o__Ophiostomatales",1,0.04
"23","o__Pezizales",20,0.76
"24","o__Platygloeales",8,0.3
"25","o__Pleosporales",1040,39.53
"26","o__Polyporales",127,4.83
"27","o__Russulales",1,0.04
"28","o__Sordariales",104,3.95
"29","o__Sordariomycetes_ord_Incertae_sedis",21,0.8
"30","o__Taphrinales",2,0.08
"31","o__Ustilaginales",25,0.95
"32","o__Xylariales",104,3.95
