"","Var1","Freq","percentage"
"1","Acrophialophora jodhpurensis",4,0.15
"2","Acrophialophora levis",17,0.65
"3","Acrophialophora NA",6,0.23
"4","Allobotryotrichum blastosporum",8,0.3
"5","Alternaria destruens",2,0.08
"6","Alternaria metachromatica",1,0.04
"7","Alternaria NA",18,0.68
"8","Alternaria prunicola",6,0.23
"9","Alternaria rosae",1,0.04
"10","Alternaria sonchi",1,0.04
"11","Alternaria subcucurbitae",1,0.04
"12","Amphobotrys ricini",5,0.19
"13","Apiospora jiangxiensis",2,0.08
"14","Apiospora neosubglobosa",1,0.04
"15","Apiospora obovata",1,0.04
"16","Ascochyta var._macrospora",5,0.19
"17","Bipolaris eleusines",2,0.08
"18","Bipolaris maydis",2,0.08
"19","Bipolaris microstegii",1,0.04
"20","Bipolaris NA",6,0.23
"21","Boeremia NA",4,0.15
"22","Botrytis caroliniana",4,0.15
"23","Ceratobasidium cornigerum",3,0.11
"24","Ceratobasidium NA",42,1.6
"25","Ceratocystis NA",2,0.08
"26","Cercospora NA",16,0.61
"27","Cercospora zeae-maydis",1,0.04
"28","Claviceps arundinis",2,0.08
"29","Coleophoma NA",24,0.91
"30","Colletotrichum graminicola",13,0.49
"31","Colletotrichum lilii",1,0.04
"32","Colletotrichum piperis",7,0.27
"33","Colletotrichum truncatum",1,0.04
"34","Coniothyrium NA",2,0.08
"35","Coniothyrium palmicola",33,1.25
"36","Coniothyrium sidae",1,0.04
"37","Cordana bisbyi",20,0.76
"38","Cordana NA",43,1.63
"39","Cordana terrestris",6,0.23
"40","Curvularia americana",19,0.72
"41","Curvularia canadensis",6,0.23
"42","Curvularia fallax",57,2.17
"43","Curvularia gladioli",18,0.68
"44","Curvularia inaequalis",1,0.04
"45","Curvularia lunata",20,0.76
"46","Curvularia mebaldsii",25,0.95
"47","Curvularia NA",91,3.46
"48","Curvularia pseudoprotuberata",11,0.42
"49","Curvularia sorghina",9,0.34
"50","Curvularia trifolii",16,0.61
"51","Curvularia verruculosa",3,0.11
"52","Curvularia xishuangbannaensis",53,2.01
"53","Cylindrocladiella NA",2,0.08
"54","Cylindrocladiella variabilis",2,0.08
"55","Cytospora NA",1,0.04
"56","Dactylonectria macrodidyma",30,1.14
"57","Dendryphion europaeum",11,0.42
"58","Didymella bellidis",6,0.23
"59","Didymella glomerata",7,0.27
"60","Didymella NA",30,1.14
"61","Discosia pseudoartocreas",2,0.08
"62","Dothiorella viticola",1,0.04
"63","Edenia gomezpompae",11,0.42
"64","Entyloma NA",1,0.04
"65","Eocronartium NA",8,0.3
"66","Epicoccum italicum",41,1.56
"67","Epicoccum NA",4,0.15
"68","Epicoccum pseudokeratinophilum",2,0.08
"69","Epicoccum thailandicum",55,2.09
"70","Eucasphaeria NA",132,5.02
"71","Exserohilum gedarefense",23,0.87
"72","Fomitiporia ignea",2,0.08
"73","Fusarium biseptatum",1,0.04
"74","Fusarium burgessii",2,0.08
"75","Fusarium chlamydosporum",26,0.99
"76","Fusarium croci",5,0.19
"77","Fusarium equiseti",88,3.34
"78","Fusarium fujikuroi",2,0.08
