"","Var1","Freq","percentage"
"1","c__Agaricomycetes",599,15.49
"2","c__Blastocladiomycetes",1,0.03
"3","c__Calcarisporiellomycetes",3,0.08
"4","c__Dothideomycetes",88,2.28
"5","c__Eurotiomycetes",392,10.14
"6","c__Geminibasidiomycetes",4,0.1
"7","c__Kickxellomycetes",117,3.03
"8","c__Leotiomycetes",9,0.23
"9","c__Malasseziomycetes",2,0.05
"10","c__Microbotryomycetes",29,0.75
"11","c__Mortierellomycetes",642,16.6
"12","c__Mucoromycetes",363,9.39
"13","c__Mucoromycotina_cls_Incertae_sedis",3,0.08
"14","c__Pezizomycetes",34,0.88
"15","c__Ramicandelaberomycetes",582,15.05
"16","c__Sordariomycetes",935,24.18
"17","c__Tremellomycetes",64,1.66
