"","Var1","Freq","percentage"
"1","f__Agaricaceae",7,0.18
"2","f__Backusellaceae",2,0.05
"3","f__Blastocladiaceae",1,0.03
"4","f__Bolbitiaceae",31,0.8
"5","f__Bombardiaceae",45,1.16
"6","f__Bulleribasidiaceae",16,0.41
"7","f__Calcarisporiellaceae",3,0.08
"8","f__Callistosporiaceae",1,0.03
"9","f__Chaetomiaceae",43,1.11
"10","f__Choanephoraceae",9,0.23
"11","f__Chrysozymaceae",2,0.05
"12","f__Clathraceae",1,0.03
"13","f__Clavicipitaceae",114,2.95
"14","f__Crassisporiaceae",2,0.05
"15","f__Cunninghamellaceae",74,1.91
"16","f__Entolomataceae",172,4.45
"17","f__Geminibasidiaceae",4,0.1
"18","f__Herpotrichiellaceae",223,5.77
"19","f__Hypocreaceae",38,0.98
"20","f__Hypocreales_fam_Incertae_sedis",49,1.27
"21","f__Kickxellaceae",117,3.03
"22","f__Leucosporidiaceae",27,0.7
"23","f__Lycoperdaceae",224,5.79
"24","f__Malasseziaceae",2,0.05
"25","f__Microascaceae",53,1.37
"26","f__Mortierellaceae",642,16.6
"27","f__Mrakiaceae",5,0.13
"28","f__Mucoraceae",248,6.41
"29","f__Mucoromycotina_fam_Incertae_sedis",3,0.08
"30","f__Mycenastraceae",2,0.05
"31","f__Myrmecridiaceae",102,2.64
"32","f__Myxotrichaceae",8,0.21
"33","f__Nectriaceae",79,2.04
"34","f__Onygenaceae",46,1.19
"35","f__Onygenales_fam_Incertae_sedis",32,0.83
"36","f__Pezizaceae",29,0.75
"37","f__Piskurozymaceae",6,0.16
"38","f__Plectosphaerellaceae",15,0.39
"39","f__Pleosporales_fam_Incertae_sedis",88,2.28
"40","f__Podosporaceae",90,2.33
"41","f__Psathyrellaceae",149,3.85
"42","f__Pseudeurotiaceae",1,0.03
"43","f__Pyronemataceae",5,0.13
"44","f__Ramicandelaberaceae",582,15.05
"45","f__Rhizopodaceae",30,0.78
"46","f__Sordariales_fam_Incertae_sedis",182,4.71
"47","f__Spiromastigoidaceae",4,0.1
"48","f__Stachybotryaceae",125,3.23
"49","f__Strophariaceae",8,0.21
"50","f__Trichocomaceae",8,0.21
"51","f__Tricholomataceae",2,0.05
"52","f__Trichomeriaceae",79,2.04
"53","f__Trichosporonaceae",24,0.62
"54","f__Trimorphomycetaceae",13,0.34
