"","Var1","Freq","percentage"
"1","Aaosphaeria",29,0.75
"2","Absidia",72,1.86
"3","Achroiostachys",5,0.13
"4","Acremoniopsis",52,1.34
"5","Actinomucor",6,0.16
"6","Agaricus",5,0.13
"7","Agrocybe",8,0.21
"8","Albifimbria",31,0.8
"9","Allomyces",1,0.03
"10","Apiotrichum",24,0.62
"11","Arachnion",35,0.91
"12","Arcopilus",27,0.7
"13","Arthrocladium",2,0.05
"14","Arxotrichum",15,0.39
"15","Aseroe",1,0.03
"16","Backusella",2,0.05
"17","Bannozyma",1,0.03
"18","Bifiguratus",3,0.08
"19","Blakeslea",2,0.05
"20","Boubovia",1,0.03
"21","Boudiera",2,0.05
"22","Bovista",5,0.13
"23","Calcarisporiella",3,0.08
"24","Callistosporium",1,0.03
"25","Calvatia",54,1.4
"26","Capronia",5,0.13
"27","Castanedomyces",4,0.1
"28","Chlamydocillium",3,0.08
"29","Chordomyces",3,0.08
"30","Chrysozyma",1,0.03
"31","Cladophialophora",191,4.94
"32","Coemansia",117,3.03
"33","Collarina",114,2.95
"34","Conocybe",28,0.72
"35","Coprinellus",13,0.34
"36","Coprinopsis",107,2.77
"37","Cunninghamella",2,0.05
"38","Disciseda",118,3.05
"39","Echinoderma",1,0.03
"40","Emericellopsis",46,1.19
"41","Entoloma",172,4.45
"42","Fonsecaea",1,0.03
"43","Furcasterigmium",12,0.31
"44","Galerella",3,0.08
"45","Geminibasidium",4,0.1
"46","Gymnostellatospora",1,0.03
"47","Holocotylon",12,0.31
"48","Iodophanus",13,0.34
"49","Kiflimonium",38,0.98
"50","Knufia",77,1.99
"51","Leucosporidium",27,0.7
"52","Malassezia",2,0.05
"53","Melanoleuca",2,0.05
"54","Microascus",5,0.13
"55","Mortierella",642,16.6
"56","Mucor",242,6.26
"57","Mycenastrum",2,0.05
"58","Myrmecridium",102,2.64
"59","Neocosmospora",27,0.7
"60","Oidiodendron",8,0.21
"61","Paramyrothecium",2,0.05
"62","Parasola",29,0.75
"63","Peziza",14,0.36
"64","Piskurozyma",2,0.05
"65","Poitrasia",7,0.18
"66","Polyschema",59,1.53
"67","Polytolypa",36,0.93
"68","Pseudaleuria",4,0.1
"69","Pseudallescheria",3,0.08
"70","Pseudospiromastix",7,0.18
"71","Ramicandelaber",582,15.05
"72","Ramophialophora",45,1.16
"73","Rhinocladiella",26,0.67
"74","Rhizopus",30,0.78
"75","Romagnesiella",2,0.05
"76","Saitozyma",13,0.34
"77","Scedosporium",41,1.06
"78","Scopulariopsis",2,0.05
"79","Solicoccozyma",4,0.1
"80","Spiromastigoides",4,0.1
"81","Spiromastix",25,0.65
"82","Staphylotrichum",182,4.71
"83","Striaticonidium",87,2.25
"84","Tausonia",5,0.13
"85","Thermomyces",8,0.21
"86","Thermothelomyces",1,0.03
"87","Triangularia",90,2.33
"88","Tulostoma",1,0.03
"89","Vishniacozyma",16,0.41
"90","Xanthothecium",6,0.16
"91","Yunnania",2,0.05
