"","Var1","Freq","percentage"
"1","o__Agaricales",598,15.46
"2","o__Blastocladiales",1,0.03
"3","o__Calcarisporiellales",3,0.08
"4","o__Chaetothyriales",302,7.81
"5","o__Cystofilobasidiales",5,0.13
"6","o__Eurotiales",8,0.21
"7","o__Filobasidiales",6,0.16
"8","o__Geminibasidiales",4,0.1
"9","o__Glomerellales",15,0.39
"10","o__Helotiales",8,0.21
"11","o__Hypocreales",405,10.47
"12","o__Kickxellales",117,3.03
"13","o__Leucosporidiales",27,0.7
"14","o__Malasseziales",2,0.05
"15","o__Microascales",53,1.37
"16","o__Microbotryomycetes_ord_Incertae_sedis",2,0.05
"17","o__Mortierellales",642,16.6
"18","o__Mucorales",363,9.39
"19","o__Mucoromycotina_ord_Incertae_sedis",3,0.08
"20","o__Myrmecridiales",102,2.64
"21","o__Onygenales",82,2.12
"22","o__Pezizales",34,0.88
"23","o__Phallales",1,0.03
"24","o__Pleosporales",88,2.28
"25","o__Ramicandelaberales",582,15.05
"26","o__Sordariales",360,9.31
"27","o__Thelebolales",1,0.03
"28","o__Tremellales",29,0.75
"29","o__Trichosporonales",24,0.62
