"","Var1","Freq","percentage"
"1","Aaosphaeria arxii",29,0.75
"2","Absidia cuneospora",72,1.86
"3","Achroiostachys NA",5,0.13
"4","Acremoniopsis suttoniae",52,1.34
"5","Actinomucor elegans",6,0.16
"6","Agaricus campestris",1,0.03
"7","Agaricus parvibicolor",1,0.03
"8","Agaricus parvisporus",1,0.03
"9","Agaricus thiersii",1,0.03
"10","Agaricus tollocanensis",1,0.03
"11","Agrocybe pediades",8,0.21
"12","Albifimbria verrucaria",31,0.8
"13","Allomyces NA",1,0.03
"14","Apiotrichum laibachii",5,0.13
"15","Apiotrichum scarabaeorum",19,0.49
"16","Arachnion album",35,0.91
"17","Arcopilus tangerinicapillus",27,0.7
"18","Arthrocladium NA",2,0.05
"19","Arxotrichum wyomingense",15,0.39
"20","Aseroe coccinea",1,0.03
"21","Backusella thermophila",2,0.05
"22","Bannozyma yamatoana",1,0.03
"23","Bifiguratus NA",3,0.08
"24","Blakeslea trispora",2,0.05
"25","Boubovia NA",1,0.03
"26","Boudiera acanthospora",1,0.03
"27","Boudiera NA",1,0.03
"28","Bovista promontorii",4,0.1
"29","Bovista pusilliformis",1,0.03
"30","Calcarisporiella NA",3,0.08
"31","Callistosporium purpureomarginatum",1,0.03
"32","Calvatia craniiformis",5,0.13
"33","Calvatia cyathiformis",36,0.93
"34","Calvatia fragilis",4,0.1
"35","Calvatia NA",8,0.21
"36","Calvatia rubroflava",1,0.03
"37","Capronia rubiginosa",3,0.08
"38","Capronia semiimmersa",2,0.05
"39","Castanedomyces australiensis",4,0.1
"40","Chlamydocillium cyanophilum",3,0.08
"41","Chordomyces antarcticus",3,0.08
"42","Chrysozyma sorbariae",1,0.03
"43","Cladophialophora chaetospira",37,0.96
"44","Cladophialophora eucalypti",7,0.18
"45","Cladophialophora floridana",47,1.22
"46","Cladophialophora NA",47,1.22
"47","Cladophialophora nyingchiensis",8,0.21
"48","Cladophialophora tortuosa",45,1.16
"49","Coemansia NA",34,0.88
"50","Coemansia pectinata",83,2.15
"51","Collarina NA",114,2.95
"52","Conocybe anthracophila",5,0.13
"53","Conocybe crispa",7,0.18
"54","Conocybe michiganensis",1,0.03
"55","Conocybe NA",5,0.13
"56","Conocybe pygmaeoaffinis",5,0.13
"57","Conocybe subcrispa",5,0.13
"58","Coprinellus disseminatus",4,0.1
"59","Coprinellus domesticus",1,0.03
"60","Coprinellus flocculosus",1,0.03
"61","Coprinellus hiascens",1,0.03
"62","Coprinellus magnoliae",1,0.03
"63","Coprinellus ovatus",1,0.03
"64","Coprinellus verrucispermus",4,0.1
"65","Coprinopsis atramentaria",4,0.1
"66","Coprinopsis calospora",47,1.22
"67","Coprinopsis cinerea",1,0.03
"68","Coprinopsis NA",33,0.85
"69","Coprinopsis neophlyctidospora",21,0.54
"70","Coprinopsis nivea",1,0.03
"71","Cunninghamella echinulata",2,0.05
"72","Disciseda cervina",4,0.1
"73","Disciseda hyalothrix",1,0.03
"74","Disciseda NA",113,2.92
"75","Echinoderma flavidoasperum",1,0.03
"76","Emericellopsis glabra",24,0.62
"77","Emericellopsis humicola",1,0.03
"78","Emericellopsis NA",21,0.54
"79","Entoloma abortivum",6,0.16
"80","Entoloma albotomentosum",11,0.28
"81","Entoloma byssisedum",1,0.03
"82","Entoloma caccabus",1,0.03
"83","Entoloma flavifolium",1,0.03
"84","Entoloma fuscohebes",2,0.05
"85","Entoloma hirtipes",7,0.18
"86","Entoloma infula",1,0.03
"87","Entoloma minutisporum",2,0.05
"88","Entoloma NA",111,2.87
"89","Entoloma nidorosum",1,0.03
"90","Entoloma nitens",2,0.05
"91","Entoloma phaeocyathus",1,0.03
"92","Entoloma saundersii",1,0.03
"93","Entoloma undatum",24,0.62
"94","Fonsecaea pedrosoi",1,0.03
"95","Furcasterigmium furcatum",12,0.31
"96","Galerella NA",3,0.08
"97","Geminibasidium NA",4,0.1
"98","Gymnostellatospora japonica",1,0.03
"99","Holocotylon NA",12,0.31
"100","Iodophanus carneus",6,0.16
"101","Iodophanus NA",5,0.13
"102","Iodophanus testaceus",2,0.05
"103","Kiflimonium curvulum",27,0.7
"104","Kiflimonium junci",7,0.18
"105","Kiflimonium NA",4,0.1
"106","Knufia mediterranea",4,0.1
"107","Knufia NA",11,0.28
"108","Knufia tsunedae",62,1.6
"109","Leucosporidium escuderoi",1,0.03
"110","Leucosporidium fragarium",3,0.08
"111","Leucosporidium golubevii",9,0.23
"112","Leucosporidium intermedium",14,0.36
"113","Malassezia restricta",2,0.05
"114","Melanoleuca griseobrunnea",2,0.05
"115","Microascus alveolaris",1,0.03
"116","Microascus brevicaulis",1,0.03
"117","Microascus cirrosus",2,0.05
"118","Microascus NA",1,0.03
"119","Mortierella ambigua",58,1.5
"120","Mortierella bainieri",1,0.03
"121","Mortierella bisporalis",69,1.78
"122","Mortierella calciphila",74,1.91
"123","Mortierella capitata",23,0.59
"124","Mortierella cogitans",9,0.23
"125","Mortierella elongatula",8,0.21
"126","Mortierella exigua",3,0.08
"127","Mortierella globalpina",4,0.1
"128","Mortierella multispora",71,1.84
"129","Mortierella NA",142,3.67
"130","Mortierella rishikesha",92,2.38
"131","Mortierella turficola",1,0.03
"132","Mortierella wolfii",1,0.03
"133","Mortierella yunnanensis",86,2.22
"134","Mucor aseptatophorus",9,0.23
"135","Mucor circinelloides",68,1.76
"136","Mucor fragilis",31,0.8
"137","Mucor hiemalis",29,0.75
"138","Mucor indicus",12,0.31
"139","Mucor irregularis",11,0.28
"140","Mucor lusitanicus",25,0.65
"141","Mucor minutus",11,0.28
"142","Mucor moelleri",9,0.23
"143","Mucor NA",20,0.52
"144","Mucor pernambucoensis",1,0.03
"145","Mucor racemosus",2,0.05
"146","Mucor takensis",14,0.36
"147","Mycenastrum corium",2,0.05
"148","Myrmecridium NA",5,0.13
"149","Myrmecridium schulzeri",97,2.51
"150","Neocosmospora rubicola",27,0.7
"151","Oidiodendron cereale",7,0.18
"152","Oidiodendron echinulatum",1,0.03
"153","Paramyrothecium humicola",2,0.05
"154","Parasola leiocephala",3,0.08
"155","Parasola NA",26,0.67
"156","Peziza arvernensis",3,0.08
"157","Peziza NA",7,0.18
"158","Peziza ninguis",4,0.1
"159","Piskurozyma silvicultrix",2,0.05
"160","Poitrasia circinans",7,0.18
"161","Polyschema sclerotigenum",59,1.53
"162","Polytolypa hystricis",36,0.93
"163","Pseudaleuria fibrillosa",4,0.1
"164","Pseudallescheria boydii",2,0.05
"165","Pseudallescheria NA",1,0.03
"166","Pseudospiromastix tentaculata",7,0.18
"167","Ramicandelaber brevisporus",11,0.28
"168","Ramicandelaber NA",567,14.66
"169","Ramicandelaber taiwanensis",4,0.1
"170","Ramophialophora humicola",45,1.16
"171","Rhinocladiella NA",3,0.08
"172","Rhinocladiella similis",23,0.59
"173","Rhizopus arrhizus",21,0.54
"174","Rhizopus microsporus",9,0.23
"175","Romagnesiella clavus",2,0.05
"176","Saitozyma flava",5,0.13
"177","Saitozyma paraflava",2,0.05
"178","Saitozyma podzolica",6,0.16
"179","Scedosporium boydii",1,0.03
"180","Scedosporium dehoogii",39,1.01
"181","Scedosporium NA",1,0.03
"182","Scopulariopsis candida",2,0.05
"183","Solicoccozyma terricola",1,0.03
"184","Solicoccozyma zizaniae",3,0.08
"185","Spiromastigoides NA",1,0.03
"186","Spiromastigoides warcupii",3,0.08
"187","Spiromastix NA",25,0.65
"188","Staphylotrichum acaciicola",85,2.2
"189","Staphylotrichum boninense",5,0.13
"190","Staphylotrichum coccosporum",18,0.47
"191","Staphylotrichum microascosporum",5,0.13
"192","Staphylotrichum NA",69,1.78
"193","Striaticonidium brachysporum",49,1.27
"194","Striaticonidium humicola",22,0.57
"195","Striaticonidium NA",1,0.03
"196","Striaticonidium synnematum",15,0.39
"197","Tausonia pullulans",5,0.13
"198","Thermomyces lanuginosus",8,0.21
"199","Thermothelomyces NA",1,0.03
"200","Triangularia NA",12,0.31
"201","Triangularia pseudopauciseta",1,0.03
"202","Triangularia yaeyamensis",77,1.99
"203","Tulostoma pulchellum",1,0.03
"204","Vishniacozyma carnescens",2,0.05
"205","Vishniacozyma dimennae",7,0.18
"206","Vishniacozyma insularis",2,0.05
"207","Vishniacozyma tephrensis",4,0.1
"208","Vishniacozyma victoriae",1,0.03
"209","Xanthothecium peruvianum",6,0.16
"210","Yunnania carbonaria",2,0.05
