"","Var1","Freq","percentage"
"1","f__Acrocalymmaceae",68,2.04
"2","f__Agaricaceae",51,1.53
"3","f__Amniculicolaceae",1,0.03
"4","f__Annulatascaceae",40,1.2
"5","f__Auriculariaceae",3,0.09
"6","f__Auriculariales_fam_Incertae_sedis",21,0.63
"7","f__Bambusicolaceae",1,0.03
"8","f__Biatriosporaceae",1,0.03
"9","f__Bionectriaceae",156,4.68
"10","f__Bloxamiaceae",25,0.75
"11","f__Boletales_fam_Incertae_sedis",2,0.06
"12","f__Boliniaceae",2,0.06
"13","f__Bondarzewiaceae",15,0.45
"14","f__Chaetomiaceae",366,10.99
"15","f__Chaetosphaeriaceae",1,0.03
"16","f__Conioscyphaceae",271,8.14
"17","f__Conlariaceae",24,0.72
"18","f__Corticiaceae",2,0.06
"19","f__Crepidotaceae",3,0.09
"20","f__Cucurbitariaceae",37,1.11
"21","f__Cyphellaceae",15,0.45
"22","f__Didymellaceae",1,0.03
"23","f__Didymosphaeriaceae",77,2.31
"24","f__Distoseptisporaceae",2,0.06
"25","f__Dothideomycetes_fam_Incertae_sedis",1,0.03
"26","f__Exidiaceae",1,0.03
"27","f__Fomitopsidaceae",7,0.21
"28","f__Gelatinodiscaceae",53,1.59
"29","f__Graphostromataceae",4,0.12
"30","f__Grifolaceae",2,0.06
"31","f__Halosphaeriaceae",49,1.47
"32","f__Helminthosphaeriaceae",19,0.57
"33","f__Helotiaceae",187,5.61
"34","f__Hericiaceae",1,0.03
"35","f__Herpotrichiellaceae",19,0.57
"36","f__Hyaloscyphaceae",52,1.56
"37","f__Hydnodontaceae",78,2.34
"38","f__Hymenochaetaceae",2,0.06
"39","f__Hymenogastraceae",4,0.12
"40","f__Hypocreales_fam_Incertae_sedis",1,0.03
"41","f__Hypoxylaceae",66,1.98
"42","f__Lachnocladiaceae",7,0.21
"43","f__Lentitheciaceae",65,1.95
"44","f__Lopadostomataceae",13,0.39
"45","f__Lophiostomataceae",8,0.24
"46","f__Lophiotremataceae",23,0.69
"47","f__Lyophyllaceae",1,0.03
"48","f__Melanconidaceae",21,0.63
"49","f__Melanommataceae",73,2.19
"50","f__Meruliaceae",10,0.3
"51","f__Minutisphaeraceae",26,0.78
"52","f__Mytilinidiaceae",1,0.03
"53","f__Nectriaceae",129,3.87
"54","f__Neocamarosporiaceae",2,0.06
"55","f__Onygenaceae",4,0.12
"56","f__Orbiliaceae",62,1.86
"57","f__Parabambusicolaceae",3,0.09
"58","f__Peniophoraceae",2,0.06
"59","f__Pezizaceae",45,1.35
"60","f__Phanerochaetaceae",1,0.03
"61","f__Phleogenaceae",1,0.03
"62","f__Phomatosporaceae",10,0.3
"63","f__Physalacriaceae",6,0.18
"64","f__Pisorisporiaceae",27,0.81
"65","f__Pleosporales_fam_Incertae_sedis",1,0.03
"66","f__Pleurotheciaceae",14,0.42
"67","f__Podoscyphaceae",1,0.03
"68","f__Polyporaceae",9,0.27
"69","f__Porotheleaceae",4,0.12
"70","f__Psathyrellaceae",61,1.83
"71","f__Pyronemataceae",21,0.63
"72","f__Roussoellaceae",45,1.35
"73","f__Saccotheciaceae",1,0.03
"74","f__Sarcoscyphaceae",4,0.12
"75","f__Sarcosomataceae",8,0.24
"76","f__Savoryellaceae",44,1.32
"77","f__Schizophyllaceae",2,0.06
"78","f__Schizoporaceae",5,0.15
"79","f__Sordariales_fam_Incertae_sedis",631,18.94
"80","f__Sordariomycetes_fam_Incertae_sedis",10,0.3
"81","f__Sporormiaceae",4,0.12
"82","f__Stachybotryaceae",54,1.62
"83","f__Steccherinaceae",1,0.03
"84","f__Stephanosporaceae",4,0.12
"85","f__Stereaceae",1,0.03
"86","f__Strophariaceae",18,0.54
"87","f__Thyridiaceae",4,0.12
"88","f__Tubeufiaceae",57,1.71
"89","f__Venturiaceae",1,0.03
"90","f__Xylariaceae",52,1.56
"91","f__Xylariales_fam_Incertae_sedis",3,0.09
