"","Var1","Freq","percentage"
"1","Achroceratosphaeria NA",27,0.81
"2","Acrocalymma ampeli",11,0.33
"3","Acrocalymma NA",21,0.63
"4","Acrocalymma pterocarpi",36,1.08
"5","Annulohypoxylon truncatum",2,0.06
"6","Aquapeziza NA",45,1.35
"7","Arachnopeziza NA",1,0.03
"8","Atractium NA",20,0.6
"9","Atrocalyx NA",21,0.63
"10","Auricularia NA",3,0.09
"11","Bactrodesmium NA",2,0.06
"12","Bactrodesmium obovatum",17,0.51
"13","Barbatosphaeria neglecta",1,0.03
"14","Biatriospora NA",1,0.03
"15","Biscogniauxia mediterranea",3,0.09
"16","Biscogniauxia NA",1,0.03
"17","Bloxamia NA",25,0.75
"18","Bondarzewia dickinsii",15,0.45
"19","Calycina NA",19,0.57
"20","Camarops NA",2,0.06
"21","Candelabrochaete langloisii",1,0.03
"22","Catinella olivacea",1,0.03
"23","Ceratostomella pyrenaica",3,0.09
"24","Chrysosporium lobatum",3,0.09
"25","Chrysosporium pannicola",1,0.03
"26","Cinereomyces lindbladii",1,0.03
"27","Cirrenalia NA",43,1.29
"28","Cistella NA",13,0.39
"29","Clonostachys eriocamporesii",1,0.03
"30","Clonostachys miodochialis",16,0.48
"31","Clonostachys NA",27,0.81
"32","Clonostachys phyllophila",16,0.48
"33","Clonostachys rosea",40,1.2
"34","Clonostachys swieteniae",4,0.12
"35","Conioscypha bambusicola",114,3.42
"36","Conioscypha NA",48,1.44
"37","Conioscypha pleiomorpha",54,1.62
"38","Conioscypha tenebrosa",55,1.65
"39","Conlarium NA",2,0.06
"40","Conlarium nanningense",1,0.03
"41","Conlarium sacchari",21,0.63
"42","Corticium confine",1,0.03
"43","Corylicola italica",1,0.03
"44","Crepidotus crocophyllus",2,0.06
"45","Cyanosporus populi",1,0.03
"46","Cystoagaricus NA",51,1.53
"47","Dactylella NA",10,0.3
"48","Dactylella ramosa",7,0.21
"49","Daldinia childiae",1,0.03
"50","Dentocorticium portoricense",1,0.03
"51","Dichostereum pallescens",2,0.06
"52","Dictyosporella guizhouensis",37,1.11
"53","Dictyosporella NA",3,0.09
"54","Distoseptispora NA",1,0.03
"55","Distoseptispora rostrata",1,0.03
"56","Donadinia seaveri",8,0.24
"57","Duportella lassa",1,0.03
"58","Endophragmiella dimorphospora",1,0.03
"59","Endophragmiella NA",18,0.54
"60","Exidia pithya",1,0.03
"61","Fibroporia radiculosa",1,0.03
"62","Fibulochlamys chilensis",1,0.03
"63","Flabellascoma NA",8,0.24
"64","Fomitopsis pinicola",1,0.03
"65","Galerina marginata",1,0.03
"66","Grifola frondosa",2,0.06
"67","Gymnopilus fulvosquamulosus",1,0.03
"68","Gymnopilus penetrans",1,0.03
"69","Gymnopilus purpureosquamulosus",1,0.03
"70","Gymnopilus underwoodii",1,0.03
"71","Halosarpheia NA",1,0.03
"72","Helicogloea NA",1,0.03
"73","Helicoma NA",50,1.5
"74","Helicosporium NA",2,0.06
"75","Hericium yumthangense",1,0.03
